Federal Register Citation for NPRM: None,,,,,,,,,,,
National Highway Traffic Safety Administration,,,,,,,,,,,
50.,,,,,,,,,,,
National Highway Traffic Safety Administration,,,,,,,,,,,
Ejection Mitigation,,,,,,,,,,,Red
Popular Title: Ejection Mitigation,,,,,,,,,,,
RIN 2127-AK23,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,
"Abstract: This rulemaking would create a new Federal Motor Vehicle Safety Standard (FMVSS) for reducing occupant ejection. Currently, there are over 52,000 annual ejections in motor vehicle crashes, and over 10,000 ejected fatalities per year. This rulemaking would propose new requirements for reducing occupant ejection through passenger vehicle side widows. The requirement would be an occupant containment requirement on the amount of allowable excursion through passenger vehicle side windows. The SAFETEA-LU legislation requires that: ""[t]he Secretary shall also initiate a rulemaking proceeding to establish performance standards to reduce complete and partial ejections of vehicle occupants from outboard seating positions. In formulating the  standards the Secretary shall consider various ejection mitigation systems. The Secretary shall issue a final rule under this paragraph no later than October 1, 2009.""",,,,,,,,,,,
Effects:,,,,,,,,,,,
Economically Significant Major,,,,,,,,,,,
Unfunded Mandate EU,,,,,,,,,,,
NAFTA,,,,,,,,,,,
Foreign,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,
Legal Deadline: Final Rule : 10/01/2009 Rulemaking Project Initiated: 08/10/2005 Docket Number:,,,,,,,,,,,
Dates for NPRM:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,04/30/2008,,06/15/2009,,06/08/2009,,,,,
To OMB,,06/30/2008,,08/11/2009,,08/26/2009,,,,,
OMB Clearance,,09/25/2008,,11/11/2009,,,,,,,
Publication Date,,09/28/2008,,11/16/2009,,,,,,,
End of Comment Period,,11/30/2008,,01/17/2010,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,
"Federal Motor Vehicles Safety Standard No. 111, Rearview Mirrors",,,,,,,,,,Green,
51.,,,,,,,,,,,
Popular Title: Rearview Mirrors,,,,,,,,,,,
RIN 2127-AK43,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,
Previous Stage: ANPRM: Publication Date 03/04/09; End of Comment Period 05/04/09,,,,,,,,,,,
"Abstract: This rulemaking would amend Federal Motor Vehicle Standard No. 111; Rearview Mirrors, to reflect requirements contained in the Cameron Gulbransen Kids Transportation Safety Act of 2007. The Act requires that NHTSA expand the required field of view to enable the driver of a motor vehicle to detect areas behind the motor vehicle to reduce death and injury resulting from backing incidents, particularly incidents involving small children and disabled persons. According to the Act, such a standard may be met by the provision of additional mirrors, sensors, cameras, or other technology to expand the driver«s field of view.",,,,,,,,,,,
Effects:,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,
Foreign,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,
Legal Deadline: Initiate rulemaking : 02/28/2009,,,,,,,,,,,
Publish Final Rule : 02/28/2011 Rulemaking Project Initiated: 11/06/2008 Docket Number:,,,,,,,,,,,
Dates for NPRM:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,10/17/2009,,,,,,,,,
To OMB,,11/26/2009,,,,,,,,,
OMB Clearance,,02/25/2010,,,,,,,,,
Publication Date,,02/28/2010,,,,,,,,,
End of Comment Period,,04/27/2010,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,
Tire Fuel Efficiency Consumer Information,,,,,,,,,,Green,
52.,,,,,,,,,,,
Popular Title: Tire Fuel Efficiency Consumer Information,,,,,,,,,,,
RIN 2127-AK45,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,
Previous Stage: NPRM: Publication Date 06/22/2009; End of Comment Period 8/21/2009.,,,,,,,,,,,
"Abstract: This rulemaking would establish a new program that would make information about the relative rolling resistance of tires available to purchasers of replacement tires and educate consumers about the effect of tires on automobile fuel efficiency, safety, and durability. The agency is required by the Energy Independence and Security Act of 2007 to establish a national tire fuel efficiency consumer information program for replacement tires designed for use on motor vehicles. Vehicle manufacturers often use low rolling resistance tires on new vehicles to help meet CAFE goals. This rulemaking is significant because it has a statutory mandate and it relates to fuel efficiency.",,,,,,,,,,,
Effects:,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,
Foreign,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,
Legal Deadline: Publish Final Rule : 12/18/2009 Rulemaking Project Initiated: 12/18/2007 Docket Number:,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,
Milestone,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,,
To OST,09/21/2009,,,,,,,,,,
To OMB,10/15/2009,,,,,,,,,,
OMB Clearance,12/15/2009,,,,,,,,,,
Publication Date,12/18/2009,,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,
Passenger Car and Light Truck Corporate Average Fuel Economy Standards MYs 2012-2016,,,,,,,,,,,Red
53.,,,,,,,,,,,
Popular Title: CAFE 2012-2016,,,,,,,,,,,
RIN 2127-AK50,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,
Abstract: This rulemaking would address Corporate Average Fuel Economy (CAFE) standards for light trucks and passenger cars for model years 2012-2016. CAFE standards must be set at least 18 months prior to the start of a model year.,,,,,,,,,,,
Effects:,,,,,,,,,,,
Economically Significant Major,,,,,,,,,,,
Unfunded Mandate EIS,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,
Foreign,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,
Legal Deadline: Final rule for Model Year 2012 : 04/01/2010,,,,,,,,,,,
Rulemaking Project Initiated: 08/01/2007,,,,,,,,,,,
Docket Number: Dates for NPRM:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,05/26/2009,,08/25/2009,,08/25/2009,,,,,
To OMB,,06/26/2009,,08/25/2009,,08/25/2009,,,,,
OMB Clearance,,09/25/2009,,09/11/2009,,,,,,,
Publication Date,,09/29/2009,,09/18/2009,,,,,,,
End of Comment Period,,11/29/2009,,11/18/2009,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,
FMVSS No. 118 Automatic Reversal Systems,,,,,,,,,Yellow,,
54.,,,,,,,,,,,
Popular Title: Automatic Reversal Systems,,,,,,,,,,,
RIN 2127-AK52,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,
"Abstract: This rulemaking would require automatic reversal systems (ARS) only on those windows that close without continuous actuation of the window switch by the window operator. Additionally, in order to provide comprehensive information on the subject and, to reflect requirements contained in the Cameron Gulbransen Kids Transportation Safety Act of 2007, NHTSA will provide consumers with information regarding which vehicles are equipped with ARS. NHTSA expects to provide this information on www.safercar.gov by October 2009.",,,,,,,,,,,
Effects:,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,
Foreign,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,
Legal Deadline: Initiate rulemaking : 08/28/2009 Rulemaking Project Initiated: 06/25/2009 Docket Number:,,,,,,,,,,,
Dates for NPRM:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,07/10/2009,,07/20/2009,,07/20/2009,,,,,
To OMB,,07/27/2009,,08/27/2009,,08/10/2009,,,,,
OMB Clearance,,08/26/2009,,10/27/2009,,08/26/2009,,,,,
Publication Date,,08/28/2009,,11/01/2009,,,,,,,
End of Comment Period,,10/27/2009,,01/03/2010,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,
Requirements and Procedures for Consumer Assistance to Recycle and Save Program,,,,,,,,,,Green,
55.,,,,,,,,,,,
Popular Title: CARS Amendment,,,,,,,,,,,
RIN 2127-AK54,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,
"Abstract: This final rule amends the regulation implementing the Consumer Assistance to Recycle and Save (CARS) Program, published on July 29, 2009 (74 FR 37878), under the CARS Act (Pub. L. 111-32). The rule clarifies the insurance eligibility requirements for trade-in vehicles under the CARS program. The rule makes substantive changes and a conforming amendment related to the timing for disabling trade-in vehicle engines. The rule also makes a technical amendment related to the requirements and procedures for identifying salvage auctions and disposal facilities. Finally, NHTSA provides a clarification related to the insurance requirement under the CARS Act.",,,,,,,,,,,
Effects:,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,
Foreign,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 07/31/2009,,,,,,,,,,,
Docket Number: Dates for Final Rule:,,,,,,,,,,,
Milestone,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,,
To OST,07/30/2009,,,,07/30/2009,,,,,,
To OMB,07/31/2009,,,,07/31/2009,,,,,,
OMB Clearance,07/31/2009,,,,07/31/2009,,,,,,
Publication Date,08/08/2009,,,,08/05/2009,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
Federal Register Citation for Final Rule: 74 FR 38976,,,,,,,,,,,
"Require Installation of Seat Belts on Motorcoaches, FMVSS No. 208",,,,,,,,,,Green,
56.,,,,,,,,,,,
Popular Title: Seat Belts on Motorcoaches,,,,,,,,,,,
RIN 2127-AK56,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,
"Abstract: This rulemaking would require the installation of lap/shoulder belts in newly-manufactured motorcoaches. Specifically, this rulemaking would establish a new definition for motorcoaches in 49 CFR Part",,,,,,,,,,,
"571.3. It would also amend Federal Motor Vehicle Safety Standard No. 208, ""Occupant crash protection,"" to require the installation of lap/shoulder belts at all driver and passenger seating positions. It would also require the installation of lap/shoulder belts at driver seating positions of large school buses in FMVSS No. 208. This rulemaking responds, in part, to recommendations made by the National Transportation Safety Board for improving bus safety.",,,,,,,,,,,
Effects:,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,
Foreign Prompting action: None Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 08/12/2009,,,,,,,,,,,
Docket Number: Dates for NPRM:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,09/23/2009,,,,,,,,,
To OMB,,10/24/2009,,,,,,,,,
OMB Clearance,,01/25/2010,,,,,,,,,
Publication Date,,02/05/2010,,,,,,,,,
End of Comment Period,,04/05/2010,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,
57.,,,,,,,,,,,
Office of the Secretary,,,,,,,,,,,
Accessibility of Passenger Vessels to Individuals with Disabilities,,,,,,,,,,,Red
Popular Title: Accessibility-passenger vessels,,,,,,,,,,,
RIN 2105-AB87,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,
Previous Stage: ANPRM: Publication Date 11/29/2004;End of Comment Period 03/28/2005;Publication Date for Extension of Comment Period 03/28/2005;End of Extended Comment Period 07/28/2005. NPRM: Publication Date 1/23/2007; End of Comment Period 4/23/2007; Extension of Comment Period 4/13/2007; End of Extended Comment Period 6/22/2007; Reopening of Comment Period 4/8/2006; End of Reopened Comment Period 4/23/2008.,,,,,,,,,,,
"Abstract: The Department«s Americans with Disabilities Act (ADA) final rule, published September 6, 1991, reserved portions of the rule concerning passenger vessels. The ADA covers passenger vessels, but issuing accessibility requirements for vessels involves complex issues unlike those affecting land transportation. This rulemaking would address these issues and propose feasible requirements to make passenger vessels accessible to, and usable by, individuals with disabilities.",,,,,,,,,,,
Effects:,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,
Foreign,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 07/26/1990,,,,,,,,,,,
Docket Number: OST-2007-26829,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,
Milestone,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,,
To OST,06/24/2009,,10/05/2009,,,,,,,,
To OMB,07/23/2009,,11/15/2009,,,,,,,,
OMB Clearance,10/23/2009,,02/15/2010,,,,,,,,
Publication Date,11/25/2009,,03/01/2010,,,,,,,,
Explanation for any delay: Unanticipated issues requiring further analysis,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,
Aviation Data Requirements Review and Modernization Program,,,,,,,,,,Black,
58.,,,,,,,,,,,
Popular Title: Aviation Data,,,,,,,,,,,
RIN 2105-AC71,,,,,,,,,,,
Stage: Undetermined,,,,,,,,,,,
Previous Stage: ANPRM: Publication Date 07/15/1998; End of Comment Period 09/14/1998; End of Reply Comment Period 10/13/1998. NPRM: Publication Date 02/17/2005;End of Comment Period 04/18/2005;Extension of Comment Period Publication Date 07/18/2005; End of Extended Comment Period 9/18/2005.,,,,,,,,,,,
"Abstract: This rulemaking requested public comments from reporting carriers and aviation data users on the nature, scope, source, and means for collecting, processing, and distributing airline traffic, fare, and financial data. Specifically, it invited comments on whether existing airline traffic, fare, and financial data should be amended, supplemented, or replaced; whether selected forms and reports should be retained, modified, or eliminated; whether OST should require all aviation data to be filed electronically; and how the aviation data system should be reengineered to enhance efficiency and to reduce costs for both the Department and the airline industry.",,,,,,,,,,,
Effects:,,,,,,,,,,,
None,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 04/15/1998,,,,,,,,,,,
Docket Number: OST-1998-4043,,,,,,,,,,,
Dates for Undetermined:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,,,,,,,,,,
To OMB,,,,,,,,,,,
OMB Clearance,,,,,,,,,,,
Publication Date,,,,,,,,,,,
End of Comment Period,,,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
Federal Register Citation for Undetermined: None,,,,,,,,,,,
Protection of Sensitive Security Information,,,,,,,,,,Black,
59.,,,,,,,,,,,
Popular Title: SSI-TSA,,,,,,,,,,,
RIN 2105-AD59,,,,,,,,,,,
Stage: Undetermined,,,,,,,,,,,
Previous Stage: Interim Final Rule: Publication Date 05/18/2004; End of Comment Period 07/19/2004.,,,,,,,,,,,
"Abstract: This rulemaking would publish a Final Rule addressing the May 2004 Interim Final Rule and respond to any comments. As of January 31, 2007, this rulemaking is on hold pending the receipt of additional information from DHS. The schedule cannot be further updated until this information is received.",,,,,,,,,,,
Effects:,,,,,,,,,,,
None,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 09/02/2002,,,,,,,,,,,
Docket Number:,,,,,,,,,,,
Dates for Undetermined:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,,,,,,,,,,
To OMB,,,,,,,,,,,
OMB Clearance,,,,,,,,,,,
Publication Date,,,,,,,,,,,
End of Comment Period,,,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
Federal Register Citation for Undetermined: None,,,,,,,,,,,
Enhancing Airline Passenger Protections,,,,,,,,,,Green,
60.,,,,,,,,,,,
Popular Title: Aviation Consumer,,,,,,,,,,,
RIN 2105-AD72,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,
Previous Stage: ANPRM: Publication Date 11/22/2007; End of Comment Period 1/22/2008; Clarification Concerning 3/05/2008. NPRM: Publication Date 12/08/2008;End of Comment Period 02/06/2009;Extension of Comment Period 02/06/2009;End of Extended Comment Period 03/09/2009.,,,,,,,,,,,
"Abstract: This rulemaking would propose to enhance airline passenger protections in the following ways: (1) require carriers to adopt contingency plans for lengthy tarmac delays and to incorporate these plans in their contracts of carriage, (2) require carriers to respond to consumer problems, (3) declare the operation of flights that remain chronically delayed to be an unfair and deceptive practice and an unfair method of competition, (4) require carriers to publish delay data on their websites, and (5) require carriers to adopt customer service plans, incorporate these in their contracts of carriage, and audit their adherence to their plans.",,,,,,,,,,,
Effects:,,,,,,,,,,,
None,,,,,,,,,,,
Prompting action: Secretarial/Head of Operating Administration Decision,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 09/04/2007,,,,,,,,,,,
Docket Number: DOT-OST-2007-0022,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,
Milestone,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,,
To OST,07/30/2009,,09/10/2009,,,,,,,,
To OMB,08/25/2009,,09/25/2009,,,,,,,,
OMB Clearance,11/25/2009,,11/23/2009,,,,,,,,
Publication Date,11/30/2009,,11/30/2009,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,
Enhancing Airline Passenger Protections - Part 2,,,,,,,,,,Green,
61.,,,,,,,,,,,
Popular Title: Airline Passenger Pt 2,,,,,,,,,,,
RIN 2105-AD92,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,
Abstract: This rulemaking would enhance airline passenger protections by addressing the following areas:(1) contingency plans for lengthy tarmac delays; (2) reporting of tarmac delay data; (3) customer service plans; (4) notification to passengers of flight status changes; (5) inflation adjustment for denied boarding compensation;,,,,,,,,,,,
(6) alternative transportation for passengers on canceled flights; (7) opt-out provisions (e.g. travel insurance);,,,,,,,,,,,
(8) contract of carriage provisions; (9) baggage fees disclosure; and (10) full fare advertising.,,,,,,,,,,,
Effects:,,,,,,,,,,,
Regulatory Flexibility Act,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 07/01/2008,,,,,,,,,,,
Docket Number: Dates for NPRM:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,02/10/2010,,,,,,,,,
To OMB,,02/26/2010,,,,,,,,,
OMB Clearance,,05/26/2010,,,,,,,,,
Publication Date,,06/01/2010,,,,,,,,,
End of Comment Period,,08/01/2010,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,
62.,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,
Hazardous Materials: Miscellaneous Packaging Amendments,,,,,,,,,,,Red
Popular Title: Packaging Requirements,,,,,,,,,,,
RIN 2137-AD89,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,
Previous Stage: NPRM: Publication Date 08/31/2006; End of Comment Period 11/30/2006.,,,,,,,,,,,
"Abstract: This rulemaking would add provisions for Large Packagings and revise the specification  requirements for non-bulk packagings and portable tanks. This rulemaking would address issues raised through enforcement actions and requests for clarification of the regulations by packaging manufacturers, third-part labs, and shippers. Also, this action would address packaging closure design modifications that may or may not require recertification. This rulemaking was downgraded to nonsignificant. It will not appear on next month's report.",,,,,,,,,,,
Effects:,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,
Foreign Prompting action: None Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 09/16/2003,,,,,,,,,,,
Docket Number: PHMSA-2006-25736,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,
Milestone,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,,
To OST,09/19/2008,,09/01/2009,,,,,,,,
To OMB,10/24/2008,,10/05/2009,,,,,,,,
OMB Clearance,01/22/2009,,01/06/2010,,,,,,,,
Publication Date,01/29/2009,,01/12/2010,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,
Hazardous Materials: Requirements for Storage of Explosives During Transportation,,,,,,,,,,,Red
63.,,,,,,,,,,,
Popular Title: Storage of Explosives,,,,,,,,,,,
RIN 2137-AE06,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,
Previous Stage: ANPRM: Publication Date 11/16/2005; End of Comment Period 02/14/2006; Reopening of Comment Period 7/03/2008; End of Reopened Comment Period 10/01/2008.,,,,,,,,,,,
"Abstract: This rulemaking would address the current safety and security risks associated with the storage of explosives during transportation. The Hazardous Materials Regulations (HMR) require shipments stored during transportation to conform to the same requirements that apply when the shipments are actually moving and for the shipping company to have security plans covering its shipments. Otherwise, the HMR do not include  specific requirements for facilities at which explosives or other high-hazard materials are stored during transportation. The HMR do not establish specific standards for storage facilities nor do they limit the amount of material that may be stored in a single location. Through this rulemaking, the agency will evaluate the adequacy of existing regulations and the need for additional, more specific requirements. In particular, the agency is considering whether current industry standards applicable to the storage of explosives should be incorporated by reference into the HMR.",,,,,,,,,,,
Effects:,,,,,,,,,,,
None,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,
Rulemaking Project Initiated: 01/01/2005,,,,,,,,,,,
Docket Number: PHMSA-2005-22987,,,,,,,,,,,
Dates for NPRM:,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,
To OST,,02/02/2007,,03/01/2010,,,,,,,
To OMB,,03/09/2007,,04/02/2010,,,,,,,
OMB Clearance,,06/07/2007,,07/01/2010,,,,,,,
Publication Date,,06/14/2007,,07/08/2010,,,,,,,
End of Comment Period,,08/17/2007,,09/08/2010,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,
Hazardous Materials: Enforcement Regulations,,,,,,,,,,,Red
64.,,,,,,,,,,,
Popular Title: Package Inspection Authority,,,,,,,,,,,
RIN 2137-AE13,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,
Previous Stage: NPRM: Publication Date 10/02/2008;End of Comment Period 12/01/2008.,,,,,,,,,,,
"Abstract: Pursuant to a mandate in SAFETEA-LU (section 7118 of P.L. 109-59), this rulemaking would establish procedural regulations to implement authority provided to DOT to open packages believed to contain hazardous materials; remove such packages from transportation; gather information; order the package transported to a facility for examination and analysis; obtain assistance from qualified persons; and issue emergency restrictions, prohibitions, recalls, or out-of-service orders to abate an imminent hazard.",,,,,,,,,,,
Effects:,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,
Foreign,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,
Legal Deadline: Temporary Rule : 10/11/2005,,,,,,,,,,,
Final Rule : 08/10/2006 Rulemaking Project Initiated: 08/10/2005 Docket Number: PHMSA-2005-22356,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,
Milestone,Originally Scheduled Date,,New Projected Date,,Actual Date,,,,,,
To OST,12/22/2009,,,,,,,,,,
To OMB,01/26/2010,,,,,,,,,,
