,agency,date,title,fulltitle,color,RIN,stage,PrevStage,abstract,effect1,effect2,effect3,effect4,effect5,effect6,effect7,prompt,legaldeadline1,legaldeadline2,legaldeadline3,legaldeadline4,legaldeadline5,legaldeadline6,initiated,docket,toOSTscheduled,toOSTprojected,toOSTactual,withdrawnOSTscheduled,withdrawnOSTprojected,withdrawnOSTactual,toModescheduled,toModeprojected,toModeactual,resubmitOSTscheduled,resubmitOSTprojected,resubmitOSTactual,toOMBscheduled,toOMBprojected,toOMBactual,withdrawnOMBscheduled,withdrawnOMBprojected,withdrawnOMBactual,toMode2scheduled,toMode2projected,toMode2actual,resubmitOST2scheduled,resubmitOST2projected,resubmitOST2actual,toMode3scheduled,toMode3projected,toMode3actual,resubmitOST3scheduled,resubmitOST3projected,resubmitOST3actual,resubmitOMB2scheuled,resubmitOMB2projected,resubmitOMB2actual,clearOMBscheduled,clearOMBprojected,clearOMBactual,publicationapprovedscheduled,publicationapprovedprojected,publicationapprovedactual,publicationscheduled,publicationprojected,publicationactual,endcommentscheduled,endcommentprojected,endcommentactual,extcommentscheduled,extcommentprojected,extcommentactual,endcomment2scheduled,endcomment2projected,endcomment2actual,whydelay1,whydelay2,whydelay3,whydelay4,whydelay5,whydelay6,whydelay7,whydelay8,fedreg
11,National Highway Traffic Safety Administration,201001,Popular Title: Rearview Mirrors,"Federal Motor Vehicle Safety Standard No. 111, Rearview Mirrors",Red,RIN 2127-AK43,Stage: NPRM,Previous Stage: ANPRM: Publication Date 03/04/09; End of Comment Period 05/04/09,"Abstract: This rulemaking would amend Federal Motor Vehicle Standard No. 111; Rearview Mirrors, to reflect requirements contained in the Cameron Gulbransen Kids Transportation Safety Act of 2007. The Act requires that NHTSA expand the required field of view to enable the driver of a motor vehicle to detect areas behind the motor vehicle to reduce death and injury resulting from backing incidents, particularly incidents involving small children and disabled persons. According to the Act, such a standard may be met by the provision of additional mirrors, sensors, cameras, or other technology to expand the driver‚s field of view.",EU NAFTA,Foreign,,,,,,Prompting action: Statute,Legal Deadline: Initiate rulemaking : 02/28/2009,NA,NA,NA,NA,NA,Publish Final Rule : 02/28/2011 Rulemaking Project Initiated: 11/06/2008 Docket Number:,Docket Number: Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: None      ,,,Additional coordination necessary,,,,,Federal Register Citation for NPRM: None
12,National Highway Traffic Safety Administration,201001,Popular Title: Tire Fuel Efficiency Consumer Information,Tire Fuel Efficiency Consumer Information,Red,RIN 2127-AK45,Stage: Final Rule,Previous Stage: NPRM: Publication Date 06/22/2009; End of Comment Period 8/21/2009.,"Abstract: This rulemaking would establish a new program that would make information about the relative rolling resistance of tires available to purchasers of replacement tires and educate consumers about the effect of tires on automobile fuel efficiency, safety, and durability. The agency is required by the Energy Independence and Security Act of 2007 to establish a national tire fuel efficiency consumer information program for replacement tires designed for use on motor vehicles. Vehicle manufacturers often use low rolling resistance tires on new vehicles to help meet CAFE goals. This rulemaking is significant because it has a statutory mandate and it relates to fuel efficiency.",EU NAFTA,Foreign,,,,,,Prompting action: Statute,Legal Deadline: Publish Final Rule : 12/18/2009 Rulemaking Project Initiated: 12/18/2007 Docket Number:,NA,NA,NA,NA,NA,Rulemaking Project Initiated: Unknown,Docket Number: Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: Additional coordination necessary Federal Register Citation for Final Rule: None      ,,,Additional coordination necessary,,,,,Federal Register Citation for Final Rule: None
13,National Highway Traffic Safety Administration,201001,Popular Title: CAFE 2012-2016,Passenger Car and Light Truck Corporate Average Fuel Economy Standards MYs 2012- 2016,Green,RIN 2127-AK50,Stage: Final Rule,Previous Stage: NPRM: Publication Date 9/28/2009; End of Comment Period 11/27/2009.,Abstract: This rulemaking would address Corporate Average Fuel Economy (CAFE) standards for light trucks and passenger cars for model years 2012-2016. CAFE standards must be set at least 18 months prior to the start of a model year.,Economically Significant Major,Unfunded Mandate EIS,EU NAFTA,Foreign,,,,Prompting action: Statute,Legal Deadline: Final rule for Model Year 2012 : 04/01/2010,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 08/01/2007,Docket Number: Dates for Final Rule:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: N/A Federal Register Citation for Final Rule: None      ,,,,,,,,Federal Register Citation for Final Rule: None
14,National Highway Traffic Safety Administration,201001,Popular Title: NCAP Safety Ratings Labeling,New Car Assessment Program Safety Ratings Labeling,Green,RIN 2127-AK51,Stage: NPRM,Previous Stage:None,"Abstract: This rulemaking would include a new overall vehicle score that is based on the frontal crash, side crash, and rollover resistance ratings for each vehicle as part of the agency‚s 5-Star ratings label safety ratings that must be displayed on the Monroney label. On July 11, 2008, NHTSA published a notice announcing the enhancements to the agency‚s New Car Assessment Program (NCAP). This rulemaking would incorporate changes in the NCAP programs, including the creation of an overall vehicle score in the vehicle safety ratings labeling program. A vehicle safety ratings labeling program was created in September 2007 as a result of a mandate in the Safe, Accountable, Flexible, Efficient Transportation Equity Act: A Legacy for Users (SAFETEA-LU). This law, passed by Congress in August 2005, requires new passenger vehicles to be labeled with safety rating information published by the National Highway Traffic Safety Administration‚s New Car Assessment Program as part of the Monroney label. NHTSA implemented this labeling program in a final rule published on September 12, 2006. On December 29, 2009, this rulemaking was downgraded and will not appear in next month‚s report.",EU NAFTA,,,,,,Foreign,Prompting action: None ,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 06/25/2009,Docket Number: ,12/1/09,NA,12/1/09,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/13/10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/12/10,NA,NA,NA,NA,NA,4/19/10,NA,NA,6/18/10,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: N/A ,,,,,,,,Federal Register Citation for NPRM: None
15,FMVSS No. 118 Automatic Reversal Systems,201001,Popular Title: Automatic Reversal Systems,FMVSS No. 118 Automatic Reversal Systems,Red,RIN 2127-AK52,Stage: Final Rule,Previous Stage: NPRM: Publication Date 9/01/2009; End of Comment Period 11/02/2009.,Abstract: This rulemaking would require automatic reversal systems (ARS) only on those windows that close without continuous actuation of the window switch by the window operator. This rulemaking was initiated per requirements in the Cameron Gulbransen Kids Transportation Safety Act of 2007.,EU NAFTA,Foreign,,,,,,Prompting action: Statute,Legal Deadline: Final Rule. : 08/28/2010,NA,NA,NA,NA,NA,Initiate rulemaking : 08/28/2009 Rulemaking Project Initiated: 06/25/2009 Docket Number: NHTSA-2009-0154,Docket Number: Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: Additional coordination necessary Federal Register Citation for Final Rule: None      ,,,Additional coordination necessary,,,,,Federal Register Citation for Final Rule: None
16,"Require Installation of Seat Belts on Motorcoaches, FMVSS No. 208",201001,Popular Title: Seat Belts on Motorcoaches,"Require Installation of Seat Belts on Motorcoaches, FMVSS No. 208",Green,RIN 2127-AK56,Stage: NPRM,Previous Stage:None,"Abstract: This rulemaking would require the installation of lap/shoulder belts in newly-manufactured motorcoaches. Specifically, this rulemaking would establish a new definition for motorcoaches in 49 CFR Part 571.3. It would also amend Federal Motor Vehicle Safety Standard No. 208, ""Occupant crash protection,"" to require the installation of lap/shoulder belts at all driver and passenger seating positions. It would also require the installation of lap/shoulder belts at driver seating positions of large school buses in FMVSS No. 208. This rulemaking responds, in part, to recommendations made by the National Transportation Safety Board for improving bus safety.",EU NAFTA,,,,,,Foreign,Foreign Prompting action: None Legal Deadline: None,Legal Deadline: Unknown,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 08/12/2009,Docket Number: Dates for NPRM:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: None      ,,,Additional coordination necessary,,,,,Federal Register Citation for NPRM: None
17,Office of the Secretary,201001,Popular Title: Accessibility-passenger vessels,Accessibility of Passenger Vessels to Individuals with Disabilities,Red,RIN 2105-AB87,Stage: Final Rule,Previous Stage: ANPRM: Publication Date 11/29/2004;End of Comment Period 03/28/2005;Publication Date for Extension of Comment Period 03/28/2005;End of Extended Comment Period 07/28/2005. NPRM: Publication Date 1/23/2007; End of Comment Period 4/23/2007; Extension of Comment Period 4/13/2007; End of Extended Comment Period 6/22/2007; Reopening of Comment Period 4/8/2006; End of Reopened Comment Period 4/23/2008.,"Abstract: This rulemaking would address accessibility issues and propose feasible requirements to make passenger vessels accessible to, and usable by, individuals with disabilities.The Department‚s Americans with Disabilities Act (ADA) final rule, published September 6, 1991, reserved portions of the rule concerning passenger vessels. The ADA covers passenger vessels, but issuing accessibility requirements for vessels involves complex issues unlike those affecting land transportation.",EU NAFTA,Foreign,,,,,,Prompting action: Statute,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 07/26/1990,Docket Number: OST-2007-26829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: Unanticipated issues requiring further analysis Federal Register Citation for Final Rule: None      ,,,,,,Unanticipated issues requiring further analysis,,Federal Register Citation for Final Rule: None
18,Office of the Secretary,201001,Popular Title: Aviation Data,Aviation Data Requirements Review and Modernization Program,Black,RIN 2105-AC71,Stage: Undetermined,Previous Stage: ANPRM: Publication Date 07/15/1998; End of Comment Period 09/14/1998; End of Reply Comment Period 10/13/1998. NPRM: Publication Date 02/17/2005;End of Comment Period 04/18/2005;Extension of Comment Period Publication Date 07/18/2005; End of Extended Comment Period 9/18/2005.,"Abstract: This rulemaking requested public comments from reporting carriers and aviation data users on the nature, scope, source, and means for collecting, processing, and distributing airline traffic, fare, and financial data. Specifically, it invited comments on whether existing airline traffic, fare, and financial data should be amended, supplemented, or replaced; whether selected forms and reports should be retained, modified, or eliminated; whether OST should require all aviation data to be filed electronically; and how the aviation data system should be reengineered to enhance efficiency and to reduce costs for both the Department and the airline industry.",None,,,,,,,Prompting action: None,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 04/15/1998,Docket Number: OST-1998-4043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: N/A Federal Register Citation for Undetermined: None      ,,,,,,,,Federal Register Citation for Undetermined: None
19,Office of the Secretary,201001,Popular Title: SSI-TSA,Protection of Sensitive Security Information,Black,RIN 2105-AD59,Stage: Undetermined,Previous Stage: Interim Final Rule: Publication Date 05/18/2004; End of Comment Period 07/19/2004.,"Abstract: This rulemaking would publish a Final Rule addressing the May 2004 Interim Final Rule and respond to any comments. As of January 31, 2007, this rulemaking is on hold pending the receipt of additional information from DHS. The schedule cannot be further updated until this information is received.",None,,,,,,,Prompting action: None,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 09/02/2002,Docket Number:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: N/A Federal Register Citation for Undetermined: None      ,,,,,,,,Federal Register Citation for Undetermined: None
20,Office of the Secretary,201001,Popular Title: Aviation Consumer,Enhancing Airline Passenger Protections,Red,RIN 2105-AD72,Stage: Final Rule,Previous Stage: ANPRM: Publication Date 11/22/2007; End of Comment Period 1/22/2008; Clarification Concerning 3/05/2008. NPRM: Publication Date 12/08/2008;End of Comment Period 02/06/2009;Extension of Comment Period 02/06/2009;End of Extended Comment Period 03/09/2009.,"Abstract: This rulemaking would propose to enhance airline passenger protections in the following ways: (1) require carriers to adopt contingency plans for lengthy tarmac delays and to incorporate these plans in their contracts of carriage, (2) require carriers to respond to consumer problems, (3) declare the operation of flights that remain chronically delayed to be an unfair and deceptive practice and an unfair method of competition, (4) require carriers to publish delay data on their websites, and (5) require carriers to adopt customer service plans, incorporate these in their contracts of carriage, and audit their adherence to their plans.",None,,,,,,,Prompting action: Secretarial/Head of Operating Administration Decision,Legal Deadline: None,NA,NA,NA,NA,NA,Rulemaking Project Initiated: 09/04/2007,Docket Number: DOT-OST-2007-0022,7/30/09,9/10/09,9/10/09,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/25/09,27-Oct,10/27/09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/25/09,1/27/10,12/18/09,NA,NA,NA,11/30/09,2/2/10,12/30/09,NA,NA,NA,NA,NA,NA,NA,NA,NA,Explanation for any delay: Additional coordination necessary,,,Additional coordination necessary,,,,,Federal Register Citation for Final Rule: 74 FR 68983
