"","V1","V2","V3","V4","linenumber"
"199","Abstract: This rulemaking would require proficiency checks for pilots in command (PICå «s) of single-piloted turbojet powered airplanes, allow pilot schools to use Internet-based training without requiring schools to have a physical ground training facility, allow pilot schools and provisional pilot schools to apply for a combined private pilot certification and instrument rating course, and revise the definition of ""complex airplane."" FAA believes these actions are necessary to respond to changes in the aviation industry and to avoid imposing unnecessary regulatory burdens. The intended effect of this rulemaking would be to ensure flight crewmembers have the training and qualifications necessary to operate aircraft safely.","","","",6
"201","Effects:","","","",7
"202","Information Collection","Information Collection","","",8
"929","","","","",9
"977","","","","",10
"1026","","","","",11
"1071","","","","",12
"11210","","","","",13
"11711","","","","",14
"203","Prompting action: None","","","",15
"204","Legal Deadline: Final Rule : 03/30/2011 Rulemaking Project Initiated: 07/24/2007 Docket Number: FAA-2008-0938","","","",16
"1227","Rulemaking Project Initiated: Unknown","","","",17
"12410","Docket Number: Unknown","","","",18
"205","Dates for Final Rule:","","","",19
"211","Explanation for any delay: N/A Federal Register Citation for Final Rule: None  ","","","",20
"13711","","","","",21
"14210","","","","",22
"1474","","","","",23
"212","Federal Register Citation for Final Rule: None","","","",24
"213","Federal Aviation Administration","","","",1
"216","Popular Title: Turbofan Powered Airplanes","","Certification of Turbofan Powered Airplanes and Miscellaneous Amendments","Green",2
"217","RIN 2120-AJ22","","","",3
"218","Stage: Final Rule","","","",4
"219","Previous Stage: NPRM: Publication Date 8/17/2009; End of Comment Period 11/16/2009; Extension of Comment Period 11/16/2009; End of Extended Comment Period 12/16/2009.","","","",5
"220","Abstract: This rulemaking would address certification and operational issues surrounding the introduction of turbofan powered airplanes. This action is necessary to standardize certification requirements and consolidate these requirements into one location. The intent is to ensure the same standards apply to all light aircraft.","","","",6
"221","Effects:","","","",7
"222","None","None","","",8
"1116","","","","",9
"11710","","","","",10
"12310","","","","",11
"1295","","","","",12
"13510","","","","",13
"14110","","","","",14
"223","Prompting action: None","","","",15
"224","Legal Deadline: Final Rule : 04/16/2011 Rulemaking Project Initiated: 01/02/2008 Docket Number: FAA-2009-0738","","","",16
"1473","Rulemaking Project Initiated: Unknown","","","",17
"150","Docket Number: Unknown","","","",18
"225","Dates for Final Rule:","","","",19
"231","Explanation for any delay: N/A Federal Register Citation for Final Rule: None  ","","","",20
"1641","","","","",21
"1701","","","","",22
"1761","","","","",23
"232","Federal Register Citation for Final Rule: None","","","",24
"233","Federal Aviation Administration","","","",1
"236","Popular Title: Supercooled Large Droplet Icing Conditions","","Supercooled Large Droplet Icing Conditions","Red",2
"237","RIN 2120-AJ34","","","",3
"238","Stage: NPRM","","","",4
"239","Previous Stage:None","","","",5
"240","Abstract: This rulemaking would amend the airworthiness standards applicable to transport category airplanes certificated for flight in icing conditions and the icing airworthiness standards applicable to aircraft engines. The rulemaking would improve safety by taking  into account supercooled large drop icing conditions for transport category airplanes most affected by supercooled large drop icing conditions. The rulemaking would also include mixed phase and ice crystal conditions for all transport category airplanes, and supercooled large drop, mixed phase, and ice crystal icing conditions for all turbine engines. This rulemaking is the result of information gathered from a review of icing accidents and incidents, and is intended to improve the level of safety for new airplane and engine designs for operations in icing conditions.","","","",6
"242","Effects:","","","",7
"243","EU NAFTA","EU NAFTA","","",8
"244","Foreign","Foreign","","",9
"13710","","","","",10
"144","","","","",11
"15110","","","","",12
"1581","","","","",13
"1651","","","","",14
"245","Prompting action: None","","","",15
"246","Legal Deadline: None","","","",16
"247","Rulemaking Project Initiated: 02/04/2008","","","",17
"248","Docket Number: Dates for NPRM:","","","",18
"1781","Dates for Unknown","","","",19
"257","Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: 75 FR 37311  ","","","",20
"194","","","","",21
"2011","","","","",22
"2082","","","","",23
"258","Federal Register Citation for NPRM: 75 FR 37311","","","",24
"259","Federal Aviation Administration","","","",1
"262","Popular Title: Post Employment Restrictions","","Restrictions on Operators Employing Former Flight Standards Service Aviation Safety Inspectors","Green",2
"263","RIN 2120-AJ36","","","",3
"264","Stage: Final Rule","","","",4
"265","Previous Stage: NPRM: Publication Date 11/20/2009; End of Comment Period 2/18/2010.","","","",5
"266","Abstract: This rulemaking would prohibit a certificate holder from employing or contracting with a former Aviation Safety Inspector (ASI) or other person with certificate holder oversight responsibilities to act as an agent or to represent that certificate holder in any matter before the FAA. This restriction would apply if the person, in the proceeding two year period, has (a) served as, or was responsible for oversight of, a Flight Standards Service ASI; and (b) had the responsibility to inspect, or oversee the inspection of, the operations of the certificate holder. The rulemaking would enhance the FAAå«s ability to properly perform its safety mission and to ensure that every passenger can have complete confidence in the integrity of the programs and operations administered by the FAA.","","","",6
"267","Effects:","","","",7
"268","None","None","","",8
"15310","","","","",9
"1611","","","","",10
"1691","","","","",11
"1771","","","","",12
"1851","","","","",13
"193","","","","",14
"269","Prompting action: None","","","",15
"270","Legal Deadline: Final Rule : 06/18/2011 Rulemaking Project Initiated: 06/16/2008 Docket Number: FAA-2008-1154","","","",16
"200","Rulemaking Project Initiated: Unknown","","","",17
"2041","Docket Number: Unknown","","","",18
"271","Dates for Final Rule:","","","",19
"278","Explanation for any delay: N/A Federal Register Citation for Final Rule: None  ","","","",20
"2211","","","","",21
"2291","","","","",22
"2371","","","","",23
"279","Federal Register Citation for Final Rule: None","","","",24
"280","Federal Aviation Administration","","","",1
"283","Popular Title: Airport SMS","","Airport Safety Management System","Red",2
"284","RIN 2120-AJ38","","","",3
"285","Stage: NPRM","","","",4
"286","Previous Stage:None","","","",5
"287","Abstract: This rulemaking would require airport operators to institute a safety management system at their airports. This action is necessary to improve safety through conformance with best practices in risk management and promote international harmonization with ICAO standards. The rule is intended to facilitate integration of formal risk management processes within the airportå«s day-to-day operations.","","","",6
"288","Effects:","","","",7
"289","Information Collection Peer Review","Information Collection Peer Review","","",8
"172","","","","",9
"1811","","","","",10
"1901","","","","",11
"1991","","","","",12
"2081","","","","",13
"2172","","","","",14
"290","Prompting action: None","","","",15
"291","Legal Deadline: None","","","",16
"292","Rulemaking Project Initiated: 07/22/2008","","","",17
"293","Docket Number: Dates for NPRM:","","","",18
"2331","Dates for Unknown","","","",19
"302","Explanation for any delay: N/A Federal Register Citation for NPRM: 75FR62008  ","","","",20
"2511","","","","",21
"260","","","","",22
"2691","","","","",23
"303","Federal Register Citation for NPRM: 75FR62008","","","",24
"304","Federal Aviation Administration","","","",1
"307","Popular Title: Photo Requirements","","Photo Requirements for Pilot Certificates","Red",2
"308","RIN 2120-AJ42","","","",3
"309","Stage: NPRM","","","",4
"310","Previous Stage:None","","","",5
"311","Abstract: This rulemaking would require digital photos on all pilot certificates. This action is necessary to update regulations about pilot plastic certificates. The intended effect of this action is to meet all requirements of the Intelligence Reform and Terrorism Prevention Act.","","","",6
"312","Effects:","","","",7
"313","None","None","","",8
"1951","","","","",9
"2051","","","","",10
"215","","","","",11
"2251","","","","",12
"235","","","","",13
"2451","","","","",14
"314","Prompting action: Statute","","","",15
"315","Legal Deadline: None","","","",16
"316","Rulemaking Project Initiated: 09/30/2008","","","",17
"317","Docket Number: FAA-2010-1127","","","",18
"318","Dates for NPRM:","","","",19
"325","Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: 75 FR 70871  ","","","",20
"2791","","","","",21
"2892","","","","",22
"2992","","","","",23
"326","Federal Register Citation for NPRM: 75 FR 70871","","","",24
"327","Federal Aviation Administration","","","",1
"330","Popular Title: Part 121 - Ice Protection","","Part 121 - Activation of Ice Protection","Green",2
"331","RIN 2120-AJ43","","","",3
"332","Stage: Final Rule","","","",4
"333","Previous Stage: NPRM: Publication Date 11/23/2009; End of Comment Period 02/22/2010","","","",5
"334","Abstract: This rulemaking would amend the regulations applicable to operators of certain airplanes used in air carrier service and certificated for flight in icing conditions. The standards would require either the installation of ice detection equipment or changes to the Airplane Flight Manual to ensure timely activation of the airframe ice protection system. This regulation is the result of information gathered from a review of icing accidents and incidents, and it is intended to improve the level of safety when airplanes are operated in icing conditions.","","","",6
"335","Effects:","","","",7
"336","Regulatory Flexibility Act","Regulatory Flexibility Act","","",8
"2171","","","","",9
"2281","","","","",10
"2391","","","","",11
"2501","","","","",12
"261","","","","",13
"2722","","","","",14
"337","Prompting action: None","","","",15
"338","Legal Deadline: Reauthorization : 06/22/2011 Rulemaking Project Initiated: 12/08/1997 Docket Number: FAA-2009-0675","","","",16
"2801","Rulemaking Project Initiated: Unknown","","","",17
"2851","Docket Number: Unknown","","","",18
"339","Dates for Final Rule:","","","",19
"346","Explanation for any delay: Awaiting development of additional data Federal Register Citation for Final Rule: None  ","","","",20
"306","","","","",21
"3171","","","","",22
"328","","","","",23
"347","Federal Register Citation for Final Rule: None","","","",24
"348","Federal Aviation Administration","","","",1
"351","Popular Title: Part 129 Ops Specs","","Part 129 Operations Specifications","Black",2
"352","RIN 2120-AJ45","","","",3
"353","Stage: Final Rule","","","",4
"354","Previous Stage: NPRM: Publication Date 05/07/2010; End of Comment Period 08/06/2010.","","","",5
"355","Abstract: This rulemaking would clarify and standardize the rules for application, amendment, suspension or revocation of operations specifications issued to foreign air carriers operating in the United States. This action is necessary to update the process for issuing operations specifications and establishes a regulatory basis for current practices, such as amending, terminating or suspending operations specifications.The intent of this action is to permit operations specifications to be easily revised and updated to meet international standards and the changing aviation environment.","","","",6
"356","Effects:","","","",7
"357","EU NAFTA","EU NAFTA","","",8
"358","Foreign","Foreign","","",9
"2481","","","","",10
"2601","","","","",11
"2721","","","","",12
"2842","","","","",13
"2961","","","","",14
"359","Prompting action: International Agreement","","","",15
"360","Legal Deadline: None","","","",16
"361","Rulemaking Project Initiated: 10/02/2004","","","",17
"362","Docket Number: FAA-2009-0140","","","",18
"363","Dates for Final Rule:","","","",19
"370","Explanation for any delay: N/A Federal Register Citation for Final Rule: None  ","","","",20
"3341","","","","",21
"3461","","","","",22
"3581","","","","",23
"371","Federal Register Citation for Final Rule: None","","","",24
"372","Federal Aviation Administration","","","",1
"375","Popular Title: Helicopter Safety Initiatives and Misc Amendments","","Air Ambulance and Commercial Helicopter Operations; Safety Initiatives and Miscellaneous Amendments","Red",2
"376","RIN 2120-AJ53","","","",3
"377","Stage: NPRM","","","",4
"378","Previous Stage:None","","","",5
"379","Abstract: This rulemaking would change equipment and operating requirements for commercial helicopter operations, including many specifically for helicopter air ambulance operations. This rulemaking is necessary to increase crew, passenger, and patient safety. The intended effect is to implement National Transportation Safety Board, Aviation Rulemaking Committee, and internal FAA recommendations.","","","",6
"381","Effects:","","","",7
"382","Regulatory Flexibility Act","Regulatory Flexibility Act","","",8
"2581","","","","",9
"2711","","","","",10
"2841","","","","",11
"2971","","","","",12
"3101","","","","",13
"3231","","","","",14
"383","Prompting action: Secretarial/Head of Operating Administration Decision","","","",15
"384","Legal Deadline: None","","","",16
"385","Rulemaking Project Initiated: 04/15/2009","","","",17
"386","Docket Number: Dates for NPRM:","","","",18
"342","Dates for Unknown","","","",19
"393","Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: 75 FR 62640  ","","","",20
"3621","","","","",21
"3751","","","","",22
"3881","","","","",23
"394","Federal Register Citation for NPRM: 75 FR 62640","","","",24
"395","Federal Aviation Administration","","","",1
"398","Popular Title: Flight/Duty/Rest Requirements","","Flight and Duty Time Limitations and Rest Requirements","Red",2
"399","RIN 2120-AJ58","","","",3
"400","Stage: NPRM","","","",4
"401","Previous Stage: NPRM: Publication date 09/14/2010; End of Comment Period 11/15/2010.","","","",5
"402","Abstract: This rulemaking would establish one set of flight time limitations, duty period limits, and rest requirements for pilots. The rulemaking is necessary to ensure that pilots have the opportunity to obtain sufficient rest to perform their duties. The objective of the rule is to contribute to and to improve aviation safety. This rulemaking is related to the following: an NPRM (RIN 2120-AF63), and a Withdrawal (RIN 2120-AI93).","","","",6
"403","Effects:","","","",7
"404","Economically Significant Major","Economically Significant Major","","",8
"405","Regulatory Flexibility Act","Regulatory Flexibility Act","","",9
"2931","","","","",10
"3071","","","","",11
"3211","","","","",12
"3352","","","","",13
"349","","","","",14
"406","Prompting action: Secretarial/Head of Operating Administration Decision","","","",15
"407","Legal Deadline: None","","","",16
"408","Rulemaking Project Initiated: 06/24/2009 Docket Number: FAA‰ÛÒ2009‰ÛÒ1093 Dates for NPRM:","","","",17
"3301","Docket Number: Unknown","","","",18
"3691","Dates for Unknown","","","",19
"415","Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: 75 FR 55852  ","","","",20
"3902","","","","",21
"4041","","","","",22
"418","","","","",23
"416","Federal Register Citation for NPRM: 75 FR 55852","","","",24
"417","Federal Aviation Administration","","","",1
"420","Popular Title: Small Unmanned Aircraft","","Operation and Certification of Small Unmanned Aircraft Systems (sUAS)","Green",2
"421","RIN 2120-AJ60","","","",3
"422","Stage: NPRM","","","",4
"423","Previous Stage:None","","","",5
"424","Abstract: This rulemaking would enable small unmanned aircraft to safely operate in   limited portions of the national airspace system (NAS). This action is necessary because it addresses the novel legal or policy issues about the minimum safety parameters for operating recreational remote control model and toy aircraft in the NAS. The intended effect of this action is to develop requirements and standards to ensure that risks are adequately mitigated, such that safety is maintained for the entire aviation community.","","","",6
"425","Effects:","","","",7
"2891","","","","",8
"2991","","","","",9
"3141","","","","",10
"329","","","","",11
"3441","","","","",12
"3591","","","","",13
"374","","","","",14
"426","Regulatory Flexibility Act Prompting action: None Legal Deadline: None","","","",15
"3771","Legal Deadline: Unknown","","","",16
"427","Rulemaking Project Initiated: 07/28/2009","","","",17
"428","Docket Number: Dates for NPRM:","","","",18
"396","Dates for Unknown","","","",19
"435","Explanation for any delay: Unanticipated issues requiring further analysis Federal Register Citation for NPRM: None  ","","","",20
"4182","","","","",21
"4331","","","","",22
"448","","","","",23
"436","Federal Register Citation for NPRM: None","","","",24
"437","Federal Aviation Administration","","","",1
"440","Popular Title: Pilot Certification and Qualification Requirements","","Pilot Certification and Qualification Requirements (formerly First Officer Qualification Requirements) (HR 5900)","Green",2
"441","RIN 2120-AJ67","","","",3
"442","Stage: NPRM","","","",4
"443","Previous Stage: ANPRM: Publication Date 02/08/2010; End of Comment Period 04/09/2010","","","",5
"444","Abstract: This rulemaking would amend the eligibility and qualification requirements for pilots engaged in part 121 air carrier operations. Additionally, it would modify the requirements for an airline transport pilot certificate. These actions are necessary because recent airline accidents and incidents have brought considerable attention to the experience level and training of air carrier flight crews.","","","",6
"447","Effects:","","","",7
"4481","None","None","","",8
"3191","","","","",9
"3351","","","","",10
"3511","","","","",11
"3671","","","","",12
"3831","","","","",13
"3992","","","","",14
"449","Prompting action: Statute","","","",15
"450","Legal Deadline: NPRM : 01/28/2011 Rulemaking Project Initiated: 10/20/2009 Docket Number: FAA-2010-0100","","","",16
"4091","Rulemaking Project Initiated: Unknown","","","",17
"4161","Docket Number: Unknown","","","",18
"451","Dates for NPRM:","","","",19
"458","Explanation for any delay: Additional coordination necessary Federal Register Citation for NPRM: None  ","","","",20
"446","","","","",21
"462","","","","",22
"478","","","","",23
"459","Federal Register Citation for NPRM: None","","","",24
"460","Federal Aviation Administration","","","",1
"463","Popular Title: Overflight Fees","","Update of Overflight Fees","Red",2
"464","RIN 2120-AJ68","","","",3
"465","Stage: NPRM","","","",4
"466","Previous Stage:None","","","",5
"467","Abstract: This rulemaking would adjust existing overflight fees by using current FAA cost accounting data and air traffic activity data. This action is necessary because operational costs for providing air traffic control and related services for overflights have increased steadily since they were established in 2001.","","","",6
"468","Effects:","","","",7
"469","None","None","","",8
"3391","","","","",9
"3561","","","","",10
"373","","","","",11
"3901","","","","",12
"4071","","","","",13
"4241","","","","",14
"470","Prompting action: None","","","",15
"471","Legal Deadline: None","","","",16
"472","Rulemaking Project Initiated: 01/09/2009","","","",17
"473","Docket Number: Dates for NPRM:","","","",18
"4502","Dates for Unknown","","","",19
"480","Explanation for any delay: N/A Federal Register Citation for NPRM: 75 FR 59661  ","","","",20
"4741","","","","",21
"491","","","","",22
"508","","","","",23
"481","Federal Register Citation for NPRM: 75 FR 59661","","","",24
"482","Federal Aviation Administration","","","",1
"485","Popular Title: Afghan SFAR","","Prohibition Against Certain Flights Within the Teritory and Airspace of Afghanistan","Red",2
"486","RIN 2120-AJ69","","","",3
"487","Stage: Final Rule","","","",4
"488","Previous Stage: NPRM: Publication Date 05/26/2010;End of Comment Period 06/10/2010.","","","",5
"489","Abstract: This rulemaking would prohibit flight operations below flight level (FL) 160 within the territory and airspace of Afghanistan by all: U.S. air carriers; U.S. commercial operators; persons exercising the privileges of a U.S. airman certificate, except if the flight is on behalf of a foreign air carrier; and operators of U.S.-registered aircraft, except when such operators are foreign air carriers. The FAA finds this action necessary to prevent a potential hazard to persons and aircraft in engaged in such flight operations.","","","",6
"490","Effects:","","","",7
"4911","None","None","","",8
"3601","","","","",9
"3781","","","","",10
"3961","","","","",11
"4141","","","","",12
"4321","","","","",13
"4501","","","","",14
"492","Prompting action: Secretarial/Head of Operating Administration Decision","","","",15
"493","Legal Deadline: None","","","",16
"494","Rulemaking Project Initiated: 01/08/2010","","","",17
"495","Docket Number: Dates for Final Rule:","","","",18
"4771","Dates for Unknown","","","",19
"501","Explanation for any delay: Unanticipated issues requiring further analysis Federal Register Citation for Final Rule: None  ","","","",20
"5012","","","","",21
"519","","","","",22
"537","","","","",23
"502","Federal Register Citation for Final Rule: None","","","",24
"503","Federal Aviation Administration","","","",1
"506","Popular Title: Wildlife Hazard Assessment (WHA)","","Requirement for Wildlife Assessments at Certificated Airports","Green",2
"507","RIN 2120-AJ71","","","",3
"5082","Stage: NPRM","","","",4
"509","Previous Stage:None","","","",5
"510","Abstract: This rulemaking would require a Wildlife Hazard Assessment (scientific evaluation of wildlife populations and their attractants) for certificated airports. This rulemaking would also require periodic completion of a wildlife hazard assessment, or continuous wildlife monitoring as an alternative to the assessment, and clarify requirements for those conducting an assessment. This rulemaking is intended to decrease direct hazards (animals striking aircraft) and indirect hazards (animal burrowing and nesting in or near aircraft or aircraft operations areas).","","","",6
"511","Effects:","","","",7
"512","None","None","","",8
"380","","","","",9
"3991","","","","",10
"4181","","","","",11
"4371","","","","",12
"4561","","","","",13
"4751","","","","",14
"513","Prompting action: Secretarial/Head of Operating Administration Decision","","","",15
"514","Legal Deadline: None","","","",16
"515","Rulemaking Project Initiated: 03/02/2010","","","",17
"516","Docket Number: Dates for NPRM:","","","",18
"5032","Dates for Unknown","","","",19
"523","Explanation for any delay: N/A Federal Register Citation for NPRM: None  ","","","",20
"529","","","","",21
"548","","","","",22
"567","","","","",23
"524","Federal Register Citation for NPRM: None","","","",24
"525","Federal Aviation Administration","","","",1
"528","Popular Title: Exiting Icing Conditions","","Part 121 Exiting Icing Conditions","Green",2
"5292","RIN 2120-AJ74","","","",3
"530","Stage: NPRM","","","",4
"531","Previous Stage:None","","","",5
"532","Abstract: This rulemaking would require detection of ice formation behind the airframe ice protection system and, upon detection, would require the pilot to exit icing conditions. If adopted, this rule would apply to aircraft with a maximum takeoff weight of less than 60,000 pounds. This rulemaking is based on recommendations from an Aviation Rulemaking Advisory Committee working group after reviewing certain accidents and incidents. The intended effect of this action is to avoid similar accidents and incidents in the future.","","","",6
"533","Effects:","","","",7
"3861","","","","",8
"4011","","","","",9
"4211","","","","",10
"4412","","","","",11
"461","","","","",12
"4811","","","","",13
"5011","","","","",14
"534","Regulatory Flexibility Act Prompting action: None Legal Deadline: None","","","",15
"505","Legal Deadline: Unknown","","","",16
"535","Rulemaking Project Initiated: 12/22/2009","","","",17
"536","Docket Number: Dates for NPRM:","","","",18
"5301","Dates for Unknown","","","",19
"543","Explanation for any delay: N/A Federal Register Citation for NPRM: None  ","","","",20
"557","","","","",21
"577","","","","",22
"597","","","","",23
"544","Federal Register Citation for NPRM: None","","","",24
"545","Federal Aviation Administration","","","",1
"5482","Popular Title: Air Carrier Maintenance Training","","Air Carrier Maintenance Training Program","Green",2
"549","RIN 2120-AJ79","","","",3
"550","Stage: NPRM","","","",4
"551","Previous Stage:None","","","",5
"552","Abstract: This proposed rule would require FAA approval of an air carrier maintenance program if it operates aircraft with 10 or more passenger seats. The intent of this proposed rule is to reduce the number of accidents and incidents caused by human error, fatigue, improper maintenance, inspection, or repair practices.","","","",6
"553","Effects:","","","",7
"554","Economically Significant Major","Economically Significant Major","","",8
"555","Regulatory Flexibility Act","Regulatory Flexibility Act","","",9
"4421","","","","",10
"4632","","","","",11
"484","","","","",12
"5051","","","","",13
"526","","","","",14
"556","Prompting action: Statute","","","",15
"5571","Legal Deadline: Final Rule : 09/26/2012 Rulemaking Project Initiated: 10/28/2008 Docket Number:","","","",16
"5381","Rulemaking Project Initiated: Unknown","","","",17
"546","Docket Number: Unknown","","","",18
"558","Dates for NPRM:","","","",19
"565","Explanation for any delay: N/A Federal Register Citation for NPRM: None  ","","","",20
"585","","","","",21
"606","","","","",22
"627","","","","",23
"566","Federal Register Citation for NPRM: None","","","",24
"5671","Federal Aviation Administration","","","",1
"570","Popular Title: SMS for Part 121","","Safety Management Systems for Part 121 Certificate Holders","Green",2
"571","RIN 2120-AJ86","","","",3
"572","Stage: NPRM","","","",4
"573","Previous Stage:None","","","",5
"574","Abstract: This rulemaking would require all part 121 air carriers to implement a safety management system (SMS). Congress passed Public Law 111-216 instructing FAA to conduct a rulemaking to require all part 121 air carriers to implement an SMS. The proposed rule must include the following safety management elements: requirements based on risk management, quality management techniques to develop safety assurance, use of interrelated systems to measure effectiveness of safety measures, and promotion of an organization-wide safety culture. Congress further required that the FAA consider at a minimum each of the following as part of the SMS rulemaking: (1) An Aviation Safety Action Program (ASAP), (2) A Flight Operational Quality Assurance Program (FOQA), (3) A Line Operations Safety Audit, and (4) An Advance Qualification Program.","","","",6
"5771","Effects:","","","",7
"578","Regulatory Flexibility Act","Regulatory Flexibility Act","","",8
"4411","","","","",9
"4631","","","","",10
"4851","","","","",11
"5071","","","","",12
"5291","","","","",13
"5511","","","","",14
