Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,05/12/2010,,,10/23/2010,,,,,,,,
To OMB,,,,,11/15/2010,,,,,,,,
OMB Clearance,,,,,02/15/2011,,,,,,,,
Publication Date,,06/09/2010,,,02/23/2011,,,,,,,,
End of Comment Period,,08/09/2010,,,04/23/2011,,,,,,,,
Explanation for any delay: Unanticipated impacts requiring further analysis,,,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,,,
Office of the Secretary,,,,,,,,,,,,,
Accessibility of Airports,,,,,,,,,,,,,Red
72.,,,,,,,,,,,,,
Popular Title: Accessibility of Airports,,,,,,,,,,,,,
RIN 2105-AD91,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage: None,,,,,,,,,,,,,
Abstract: The rulemaking would include new provisions related to service animal relief areas and closed captioning of televisions and audio-visual displays for airports that mirror the new requirements applicable to airlines set forth in the amended 14 CFR Part 382. It would also reorganize the provision in 49 CFR Part 27 regarding lifts used to transfer disabled passengers to and from the tarmac.,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,,,
Foreign,,,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 01/03/2009,,,,,,,,,,,,,
Docket Number: Dates for NPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,03/02/2010,,,09/24/2010,,,,,,,,
To OMB,,,,,10/26/2010,,,,,,,,
OMB Clearance,,,,,01/26/2011,,,,,,,,
Publication Date,,04/02/2010,,,02/05/2010,,,,,,,,
End of Comment Period,,06/02/2010,,,04/05/2011,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,,,
Office of the Secretary,,,,,,,,,,,,,
Enhancing Airline Passenger Protections - Part 2,,,,,,,,,,,,,Red
73.,,,,,,,,,,,,,
Popular Title: Aviation Consumer Part 2,,,,,,,,,,,,,
RIN 2105-AD92,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,
Abstract: This rulemaking would enhance airline passenger protections by addressing the following areas:(1) contingency plans for lengthy tarmac delays; (2) reporting of tarmac delay data; (3) customer service plans; (4) notification to passengers of flight status changes;,,,,,,,,,,,,,
(5) inflation adjustment for denied boarding compensation; (6) alternative transportation for passengers on canceled flights; (7) opt-out provisions (e.g. travel insurance); (8) contract of carriage provisions; (9) baggage fees disclosure; and (10) full fare advertising.,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
Regulatory Flexibility Act,,,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 07/01/2008,,,,,,,,,,,,,
Docket Number: 2007-0022,,,,,,,,,,,,,
Dates for NPRM:,,,,,,,,,,,,,
Milestone,,,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,
To OST,,,,02/10/2010,,,03/16/2010,,,03/16/2010,,,
To OMB,,,,02/26/2010,,,03/30/2010,,,03/31/2010,,,
OMB Clearance,,,,05/26/2010,,,06/30/2010,,,05/24/2010,,,
Publication Date,,,,06/01/2010,,,06/02/2010,,,06/08/2010,,,
End of Comment Period,,,,08/01/2010,,,08/05/2010,,,08/09/2010,,,
Extension of Comment Period,,,,,,,,,,08/03/2010,,,
End of Extended Comment Period,,,,,,,,,,09/23/2010,,,
Explanation for any delay: Unanticipated issues requiring further analysis,,,,,,,,,,,,,
Federal Register Citation for NPRM: 75 FR 3601,,,,,,,,,,,,,
Office of the Secretary,,,,,,,,,,,,,
"Carrier-Supplied Medical Oxygen, Service Animals, and Accessibility of Carrier Websites, Kiosks, and In-Flight Entertainment Systems",,,,,,,,,,,,Green,
74.,,,,,,,,,,,,,
Popular Title: ACAA SNPRM,,,,,,,,,,,,,
RIN 2105-AD96,,,,,,,,,,,,,
Stage: SNPRM,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,
Abstract: This rulemaking would fulfill a commitment made in the final rule amending the Air Carrier Access Act rules to develop an SNPRM seeking information from the public on:,,,,,,,,,,,,,
(1) the cost and technical issues involved in requiring carrier website accessibility; (2) whether automated kiosks operated by carriers in airports and elsewhere should be required to be accessible; (3) whether there are safety-related reasons for excluding service animals other than dogs that may be specific to foreign carriers; (4) whether the cost of requiring carriers to supply free in-flight medical oxygen would create an undue burden; and (5) whether providing high-contrast captioning on in-flight entertainment displays is technically and economically feasible.,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
None,,,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 09/15/2009,,,,,,,,,,,,,
Docket Number: Dates for SNPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,08/12/2010,,,,,,,,,,,
,,,,,,,,,,,,,
To OMB,,09/01/2010,,,,,,,,,,,
OMB Clearance,,12/01/2010,,,,,,,,,,,
Publication Date,,12/10/2010,,,,,,,,,,,
End of Comment Period,,03/10/2011,,,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,,,
Federal Register Citation for SNPRM: None,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
75.,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Hazardous Materials: Enforcement Regulations,,,,,,,,,,,,,Red
Popular Title: Package Inspection Authority,,,,,,,,,,,,,
RIN 2137-AE13,,,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,,,
Previous Stage: NPRM: Publication Date 10/02/2008;End of Comment Period 12/01/2008.,,,,,,,,,,,,,
"Abstract: Pursuant to a mandate in SAFETEA-LU (section 7118 of P.L. 109-59), this rulemaking would establish procedural regulations to implement authority provided to DOT to open packages believed to contain hazardous materials; remove such packages from transportation; gather information; order the package transported to a facility for examination and analysis; obtain assistance from qualified persons; and issue emergency restrictions, prohibitions, recalls, or out-of-service orders to abate an imminent hazard.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,,,
Foreign,,,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,,,
Legal Deadline: Temporary Rule : 10/11/2005,,,,,,,,,,,,,
Final Rule : 08/10/2006 Rulemaking Project Initiated: 08/10/2005 Docket Number: PHMSA-2005-22356,,,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,,,
Milestone,Originally Scheduled Date,,New Projected Date,,,Actual Date,,,,,,,
To OST,12/22/2009,,06/29/2010,,,06/18/2010,,,,,,,
To OMB,01/26/2010,,08/04/2010,,,08/09/2010,,,,,,,
OMB Clearance,04/26/2010,,11/04/2010,,,,,,,,,,
Publication Date,05/01/2010,,11/15/2010,,,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Hazardous Materials; Combination Packages Containing Liquids Intended for Transport by Aircraft,,,,,,,,,,,,Green,
76.,,,,,,,,,,,,,
Popular Title: Air Packaging,,,,,,,,,,,,,
RIN 2137-AE32,,,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,,,
Previous Stage: ANPRM: Publication 7/07/2008; End of Comment Period 9/5/2008. NPRM: Publication 5/14/2010; End of Comment Period 7/13/2010.,,,,,,,,,,,,,
"Abstract: Incident data and testing conducted on behalf of DOT indicate many combination packagings authorized for the transportation of hazardous materials may not withstand conditions normally incident to air transportation. PHMSA is considering measures to reduce the incidence of package failures and to minimize the consequences of failures should they occur. This rulemaking would require additional measures to verify packaging integrity, such as performance testing, and revisions to packaging requirements, such as the addition of liners or absorbent material.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,,,
Foreign,,,,,,,,,,,,,
Prompting action: Secretarial/Head of Operating Administration Decision,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 06/04/2007 Docket Number: PHMSA-07-29364 Dates for Final Rule:,,,,,,,,,,,,,
Milestone,Originally Scheduled Date,,New Projected Date,,,Actual Date,,,,,,,
To OST,01/21/2011,,,,,,,,,,,,
To OMB,02/16/2011,,,,,,,,,,,,
OMB Clearance,05/17/2011,,,,,,,,,,,,
Publication Date,05/24/2011,,,,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Hazardous Materials: Bulk Loading and Unloading Operations,,,,,,,,,,,,,Red
77.,,,,,,,,,,,,,
Popular Title: Loading/Unloading,,,,,,,,,,,,,
RIN 2137-AE37,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,
"Abstract: This rulemaking would request information from industry that would consider whether additional requirements governing bulk loading and unloading operations are necessary. PHMSA has reviewed transportation incident data and findings of several National Transportation Safety Board and Chemical Satety Board accident investigations involving bulk hazardous materials loading and unloading operations, which suggest there may be opportunities to enhance the safety of such operations. In particular, PHMSA is examining what, if any, safety benefits would accrue from a requirement for persons conducting bulk loading and unloading operations to develop and implement operating procedures governing these operations. PHMSA has decided to publish a proposed rule instead of a pre-rule.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
Information Collection,,,,,,,,,,,,,
Prompting action: Secretarial/Head of Operating Administration Decision,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 10/28/2008 Docket Number: PHMSA-2007-28119 Dates for NPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,02/12/2010,,,08/27/2010,,,08/24/2010,,,,,
To OMB,,03/18/2010,,,09/30/2010,,,,,,,,
OMB Clearance,,06/16/2010,,,12/29/2010,,,,,,,,
Publication Date,,06/23/2010,,,01/05/2011,,,,,,,,
End of Comment Period,,08/23/2010,,,03/04/2011,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,
Awaiting development of additional data,,,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Hazardous Materials: Revisions to Requirements for the Transportation of Lithium Batteries,,,,,,,,,,,,,Red
78.,,,,,,,,,,,,,
Popular Title: Transportation of Lithium Batteries,,,,,,,,,,,,,
RIN 2137-AE44,,,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,,,
Previous Stage: NPRM: Publication Date 1/11/2010; End of Comment Period 3/12/2010.,,,,,,,,,,,,,
"Abstract: This rulemaking would amend the Hazardous Materials Regulations to comprehensively address the safe transportation of lithium cells and batteries. The intent of the rulemaking is to strengthen the current regulatory framework by imposing more effective safeguards, including design testing to address risks related to internal short circuits, and enhanced packaging, hazard communication, and operational measures for various types and sizes of lithium batteries in specific transportation contexts. The rulemaking responds to several recommendations issued by the National Transportation Safety Board.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
Regulatory Flexibility Act,,,,,,,,,,,,,
Prompting action: Secretarial/Head of Operating Administration Decision,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 03/26/2009 Docket Number: PHMSA-2009-0095 Dates for Final Rule:,,,,,,,,,,,,,
Milestone,Originally Scheduled Date,,New Projected Date,,,Actual Date,,,,,,,
To OST,08/20/2010,,09/20/2010,,,,,,,,,,
To OMB,09/23/2010,,10/18/2010,,,,,,,,,,
OMB Clearance,12/22/2010,,01/17/2011,,,,,,,,,,
Publication Date,01/03/2011,,01/24/2011,,,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,,,
79.,,,,,,,,,,,,,
Popular Title: Wetlines,,,,,,,,,,,,,
RIN 2137-AE53,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Hazardous Materials: Safety Requirements for External Product Piping on Cargo Tanks Transporting Flammable Liquids (Wetlines),,,,,,,,,,,,,Red
Abstract: The rulemaking would amend the Hazardous Materials Regulations to prohibit,,,,,,,,,,,,,
flammable liquids from being transported in unprotected product piping on existing and newly manufactured DOT specification cargo tank motor vehicles.,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
None,,,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 09/01/2009 Docket Number: PHMSA-2009-0303 Dates for NPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,12/24/2009,,,05/03/2010,,,04/15/2010,,,,,
To OMB,,01/28/2010,,,06/30/2010,,,07/14/2010,,,,,
OMB Clearance,,04/28/2010,,,09/30/2010,,,,,,,,
Publication Date,,05/05/2010,,,10/10/2010,,,,,,,,
End of Comment Period,,07/05/2010,,,12/10/2010,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Hazardous Materials: Limiting the Use of Electronic Devices by Highway,,,,,,,,,,,,Green,
80.,,,,,,,,,,,,,
Popular Title: Texting,,,,,,,,,,,,,
RIN 2137-AE63,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,
"Abstract: This rulemaking would restrict the use of electronic devices by drivers during the operation of a motor vehicle containing a quantity of hazardous materials requiring placarding under Part 172 of the 49 CFR or any quantity of a material listed as a select agent or toxin in 42 CFR Part 73. Additionally, in accordance with requirements proposed by the Federal Motor Carrier Safety Administration (FMCSA) motor carriers are prohibited from requiring or allowing drivers of covered motor vehicles to engage in texting while driving.",,,,,,,,,,,,,
"This rulemaking would improve health and safety on the Nation's highways by reducing the prevalence of distracted driving-related crashes, fatalities, and injuries involving drivers of commercial motor vehicles.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
None,,,,,,,,,,,,,
Prompting action: Secretarial/Head of Operating Administration Decision,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 08/05/2010 Docket Number: PHMSA-2010-0221 Dates for NPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,08/23/2010,,,,,,08/18/2010,,,,,
To OMB,,09/03/2010,,,,,,09/07/2010,,,,,
OMB Clearance,,09/17/2010,,,,,,,,,,,
Publication Date,,09/21/2010,,,,,,,,,,,
End of Comment Period,,10/21/2010,,,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Hazardous Materials: Limiting the Use of Mobile Telephones by Highway,,,,,,,,,,,,Black,
81.,,,,,,,,,,,,,
Popular Title: Use of Mobile Telephones,,,,,,,,,,,,,
RIN 2137-AE65,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,
"Abstract: This rulemaking would limit the use of mobile telephones by drivers during the operation of a motor vehicle containing a quantity of hazardous materials requiring placarding under Part 172 of the 49 CFR or any quantity of a select agent or toxin listed in 42 CFR Part 73. Additionally, in accordance with requirements proposed by the Federal Motor Carrier Safety Administration (FMCSA), motor carriers would be prohibited from requiring or allowing drivers of covered motor vehicles to engage in the use of mobile telephones while driving. This rulemaking would improve health and safety on the Nation's highways by reducing the prevalence of distracted driving-related crashes, fatalities, and injuries involving drivers of commercial motor vehicles.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
None,,,,,,,,,,,,,
Prompting action: Secretarial/Head of Operating Administration Decision,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 08/13/2010 Docket Number: PHMSA-2010-0227 Dates for NPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,,,,,,,,,,,,
To OMB,,,,,,,,,,,,,
OMB Clearance,,,,,,,,,,,,,
Publication Date,,,,,,,,,,,,,
End of Comment Period,,,,,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Pipeline Safety: Safety of On-Shore Liquid Hazardous Pipelines,,,,,,,,,,,,Green,
82.,,,,,,,,,,,,,
Popular Title: Liquid Hazardous Pipelines,,,,,,,,,,,,,
RIN 2137-AE66,,,,,,,,,,,,,
Stage: ANPRM,,,,,,,,,,,,,
Previous Stage: : .,,,,,,,,,,,,,
"Abstract: This rulemaking would address effective methods that hazardous liquid operators can take to improve the protection of High Consequence Areas (HCA) and other vulnerable areas along their hazardous liquid onshore pipelines. PHMSA is considering whether   changes are needed to the regulations covering hazardous liquid onshore pipelines, whether other areas should be included as HCAs for integrity management (IM) protections, what the repair timeframes should be for areas outside the HCAs that are assessed as part of the IM program, whether leak detection standards are necessary, valve spacing requirements are needed on new construction or existing pipelines, and PHMSA should extend regulation to certain pipelines currently exempt from regulation. The agency would also address the public safety and environmental aspects any new requirements, as well as the cost implications and regulatory burden.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
None,,,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 08/13/2010 Docket Number: PHMSA-2010-0229 Dates for ANPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,09/01/2010,,,,,,08/25/2010,,,,,
To OMB,,10/05/2010,,,09/13/2010,,,,,,,,
OMB Clearance,,10/19/2010,,,09/23/2010,,,,,,,,
Publication Date,,10/25/2010,,,09/29/2010,,,,,,,,
End of Comment Period,,01/26/2011,,,12/30/2010,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,,,
Federal Register Citation for ANPRM: None,,,,,,,,,,,,,
