"Abstract: This rulemaking would create a new Federal Motor Vehicle Safety Standard (FMVSS) for reducing occupant ejection. Currently, there are over 52,000 annual ejections in motor vehicle crashes, and over 10,000 ejected fatalities per year. This rulemaking would propose new requirements for reducing occupant ejection through passenger vehicle side widows. The requirement would be an occupant containment requirement on the amount of allowable excursion through passenger vehicle side windows. The SAFETEA-LU legislation requires that: ""[t]he Secretary shall also initiate a rulemaking proceeding to establish performance standards to reduce complete and partial ejections of vehicle occupants from outboard seating positions. In formulating the standards the Secretary shall consider various ejection mitigation systems. The Secretary shall issue a final rule under this paragraph no later than October 1, 2009.""",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
Economically Significant Major,,,,,,,,,,,,,
Unfunded Mandate EU,,,,,,,,,,,,,
NAFTA,,,,,,,,,,,,,
Foreign,,,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,,,
Legal Deadline: Final Rule : 10/01/2009 Rulemaking Project Initiated: 08/10/2005 Docket Number:,,,,,,,,,,,,,
Dates for NPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,4/30/08,,,11/3/08,,,,,,,,
To OMB,,6/30/08,,,12/15/08,,,,,,,,
OMB Clearance,,9/25/08,,,3/14/08,,,,,,,,
Publication Date,,9/28/08,,,3/21/08,,,,,,,,
End of Comment Period,,11/30/08,,,5/21/08,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,,,
National Highway Traffic Safety Administration,,,,,,,,,,,,,
Early Warning Reporting Information,,,,,,,,,,,,Red,
53,,,,,,,,,,,,,
Popular Title: EWR Information,,,,,,,,,,,,,
RIN 2127-AK28,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,
"Abstract: This rulemaking would amend certain provisions of the early warning reporting (EWR) rule published pursuant to the Transportation Recall, Enhancement, Accountability and Documentation (TREAD) Act. This rulemaking would modify the threshold for submitting quarterly EWR reports for some manufacturers and add new requirements to maintain the consistency of the EWR data from quarter to quarter. This rulemaking has been upgraded and its status will now be reported.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
Regulatory Flexibility Act EU,,,,,,,,,,,,,
NAFTA,,,,,,,,,,,,,
Foreign Prompting action: None Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 02/20/2008,,,,,,,,,,,,,
Docket Number: Dates for NPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,6/18/08,,,10/20/08,,,,,,,,
To OMB,,7/31/08,,,11/28/08,,,,,,,,
OMB Clearance,,10/31/08,,,2/28/09,,,,,,,,
Publication Date,,11/14/08,,,3/10/09,,,,,,,,
End of Comment Period,,1/13/08,,,5/10/09,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,,,
National Highway Traffic Safety Administration,,,,,,,,,,,,,
Passenger Car and Light Truck Corporate Average Fuel Economy 2011-2015,,,,,,,,,Yellow,,,,
54,,,,,,,,,,,,,
Popular Title: Car and Light Truck CAFE 2011-2015,,,,,,,,,,,,,
RIN 2127-AK29,,,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,,,
Previous Stage: NPRM: Publication 5/02/2008; End of Comment Period,,,,,,,,,,,,,
7/01/2008.,,,,,,,,,,,,,
Abstract: This rulemaking would address Corporate Average Fuel Economy (CAFE) Standards for light trucks and for passenger cars for model years 2011- 2015. CAFE standards must be set at least 18 months prior to the start of a model year. This action is also subject to a direction by the President of the United States to complete rulemaking in 2008.,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
Economically Significant Major,,,,,,,,,,,,,
Unfunded Mandate EIS,,,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,,,
Foreign,,,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,,,
Legal Deadline: Final Rule : 04/01/2009 Rulemaking Project Initiated: 12/28/2007 Docket Number: NHTSA-2008-0089 Dates for Final Rule:,,,,,,,,,,,,,
Milestone,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,,
To OST,9/23/08,,,10/31/08,,,,,,,,,
To OMB,9/30/08,,,10/31/08,,,,,,,,,
OMB Clearance,10/30/08,,,11/10/08,,,,,,,,,
Publication Date,10/31/08,,,11/17/08,,,,,,,,,
Explanation for any delay: N/,,,,,,,,,,,,,
A,,,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,,,
Office of the Secretary,,,,,,,,,,,,,
55,,,,,,,,,,,,,
Office of the Secretary,,,,,,,,,,,,,
Accessibility of Passenger Vessels to Individuals with Disabilities,,,,,,,,,,,Black,,
Popular Title: Accessibility-passenger vessels,,,,,,,,,,,,,
RIN 2105-AB87,,,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,,,
Previous Stage: ANPRM: Publication Date 11/29/2004;End of Comment Period,,,,,,,,,,,,,
03/28/2005;Publication Date for Extension of Comment Period 03/28/2005;End of Extended Comment Period 07/28/2005. NPRM: Publication Date 1/23/2007; End of Comment Period 4/23/2007; Extension of Comment Period 4/13/2007; End of Extended Comment Period 6/22/2007; Reopening of Comment Period 4/8/2006; End of Reopened Comment Period 4/23/2008.,,,,,,,,,,,,,
"Abstract: The Department‚s Americans with Disabilities Act (ADA) final rule, published September 6, 1991, reserved portions of the rule concerning passenger vessels. The ADA covers passenger vessels, but issuing accessibility requirements for vessels involves complex issues unlike those affecting land transportation.",,,,,,,,,,,,,
"This rulemaking would address these issues and propose feasible requirements to make passenger vessels accessible to, and usable by, individuals with disabilities.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,,,
Foreign,,,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 07/26/1990,,,,,,,,,,,,,
Docket Number: OST-2007-26829,,,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,,,,,,,,,,,,
To OMB,,,,,,,,,,,,,
OMB Clearance,,,,,,,,,,,,,
Publication Date,,,,,,,,,,,,,
End of Comment Period,,,,,,,,,,,,,
Explanation for any delay: N/,,,,,,,,,,,,,
A,,,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,,,
Office of the Secretary,,,,,,,,,,,,,
Aviation Data Requirements Review and Modernization Program,,,,,,,,,,,Black,,
56,,,,,,,,,,,,,
Popular Title: Aviation Data,,,,,,,,,,,,,
RIN 2105-AC71,,,,,,,,,,,,,
Stage: Undetermined,,,,,,,,,,,,,
Previous Stage: ANPRM: Publication Date 07/15/1998; End of Comment Period 09/14/1998; End of Reply Comment Period 10/13/1998. NPRM: Publication Date 02/17/2005;End of Comment Period 04/18/2005;Extension of Comment Period Publication Date 07/18/2005; End of Extended Comment Period 9/18/2005.,,,,,,,,,,,,,
Abstract: This rulemaking requested public comments from reporting carriers,,,,,,,,,,,,,
"and aviation data users on the nature, scope, source, and means for collecting, processing, and distributing airline traffic, fare, and financial data. Specifically, it invited comments on whether existing airline traffic, fare, and financial data should be amended, supplemented, or replaced; whether selected forms and reports should be retained, modified, or eliminated; whether OST should require all aviation data to be filed electronically; and how the aviation data system should be reengineered to enhance efficiency and to reduce costs for both the Department and the airline industry.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
None,,,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 04/15/1998,,,,,,,,,,,,,
Docket Number: OST-1998-4043,,,,,,,,,,,,,
Dates for Undetermined:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,,,,,,,,,,,,
To OMB,,,,,,,,,,,,,
OMB Clearance,,,,,,,,,,,,,
Publication Date,,,,,,,,,,,,,
End of Comment Period,,,,,,,,,,,,,
Explanation for any delay: N/,,,,,,,,,,,,,
A,,,,,,,,,,,,,
Federal Register Citation for Undetermined: None,,,,,,,,,,,,,
Office of the Secretary,,,,,,,,,,,,,
Protection of Sensitive Security Information,,,,,,,,,,,Black,,
57,,,,,,,,,,,,,
Popular Title: SSI-TSA,,,,,,,,,,,,,
RIN 2105-AD59,,,,,,,,,,,,,
Stage: Undetermined,,,,,,,,,,,,,
Previous Stage: Interim Final Rule: Publication Date 05/18/2004; End of Comment Period 07/19/2004.,,,,,,,,,,,,,
"Abstract: This rulemaking would publish a Final Rule addressing the May 2004 Interim Final Rule and respond to any comments. As of January 31, 2007, this rulemaking is on hold pending the receipt of additional information from DHS. The schedule cannot be further updated until this information is received.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
None,,,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 09/02/2002,,,,,,,,,,,,,
Docket Number:,,,,,,,,,,,,,
Dates for Undetermined:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,,,,,,,,,,,,
To OMB,,,,,,,,,,,,,
OMB Clearance,,,,,,,,,,,,,
Publication Date,,,,,,,,,,,,,
End of Comment Period,,,,,,,,,,,,,
Explanation for any delay: N/,,,,,,,,,,,,,
A,,,,,,,,,,,,,
Federal Register Citation for Undetermined: None,,,,,,,,,,,,,
Office of the Secretary,,,,,,,,,,,,,
Credit Assistance for Surface Transportation Projects,,,,,,,,,,,,Red,
58,,,,,,,,,,,,,
Popular Title: TIFIA Update,,,,,,,,,,,,,
RIN 2105-AD70,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,
Abstract: This rulemaking would amend the TIFIA rule to implement recent statutory changes and incorporate certain other changes that the DOT believes will improve the efficiency of the program and its usefulness to borrowers. This rulemaking would also extend applicability of the rule to the Maritime Administration.,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
Economically Significant Major,,,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 04/17/2007,,,,,,,,,,,,,
Docket Number: OST-2000-7401,,,,,,,,,,,,,
Dates for NPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,5/18/07,,,7/18/08,,,7/30/08,,,,,
To OMB,,6/18/07,,,9/10/08,,,9/5/08,,,,,
OMB Clearance,,9/18/07,,,12/5/08,,,,,,,,
Publication Date,,9/28/07,,,12/15/08,,,,,,,,
End of Comment Period,,11/28/07,,,2/15/09,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,,,
Office of the Secretary,,,,,,,,,,,,,
Enhancing Airline Passenger Protections,,,,,,,,,,,,Red,
59,,,,,,,,,,,,,
Popular Title: Aviation Consumer,,,,,,,,,,,,,
RIN 2105-AD72,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage: ANPRM: Publication Date 11/22/2007; End of Comment Period 1/22/2008.,,,,,,,,,,,,,
"Abstract: This rulemaking would propose to enhance airline passenger protections in the following ways: (1) require carriers to adopt contingency plans for lengthy tarmac delays and to incorporate these plans in their contracts of carriage, (2) require carriers to respond to consumer problems, (3) declare the operation of flights that remain chronically delayed to be an unfair and deceptive practice and an unfair method of competition, (4) require carriers to publish delay data on their websites, and (5) require carriers to adopt customer service plans, incorporate these in their contracts of carriage, and audit their adherence to their plans.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
None,,,,,,,,,,,,,
Prompting action: Secretarial/Head of Operating Administration Decision,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 09/04/2007,,,,,,,,,,,,,
Docket Number: DOT-OST-2007-0022,,,,,,,,,,,,,
Dates for NPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,6/16/08,,,7/2/08,,,7/3/08,,,,,
To OMB,,6/27/08,,,9/18/08,,,9/17/08,,,,,
OMB Clearance,,9/27/08,,,12/18/08,,,,,,,,
Publication Date,,9/30/08,,,12/22/08,,,,,,,,
End of Comment Period,,11/30/08,,,2/22/09,,,,,,,,
Explanation for any delay: Unanticipated issues requiring further analysis,,,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
60,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Hazardous Materials: Miscellaneous Packaging Amendments,,,,,,,,,,,,Red,
Popular Title: Packaging Requirements,,,,,,,,,,,,,
RIN 2137-AD89,,,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,,,
Previous Stage: NPRM: Publication Date 08/31/2006; End of Comment Period 11/30/2006.,,,,,,,,,,,,,
"Abstract: This rulemaking would add provisions for Large Packagings and revise the specification requirements for non-bulk packagings and portable tanks. This rulemaking would address issues raised through enforcement actions and requests for clarification of the regulations by packaging manufacturers, third-part labs, and shippers. Also, this action would address packaging closures, design modifications that may or may not require recertification. This rulemaking was just upgraded to significant by OMB and PHMSA is adjusting its schedule to accommodate this change.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,,,
Foreign Prompting action: None Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 09/16/2003,,,,,,,,,,,,,
Docket Number: PHMSA-2006-25736,,,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,,,
Milestone,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,,
To OST,9/19/08,,,2/27/09,,,,,,,,,
To OMB,10/24/08,,,4/2/09,,,,,,,,,
OMB Clearance,1/22/09,,,7/2/09,,,,,,,,,
Publication Date,1/29/09,,,7/9/09,,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Hazardous Materials: Enhancing Rail Transportation Safety and Security for Hazardous Materials Shipments,,,,,,,,,,Green,,,
61,,,,,,,,,,,,,
Popular Title: Rail routing rule,,,,,,,,,,,,,
RIN 2137-AE02,,,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,,,
Previous Stage: Interim Final Rule: Publication Date 04/16/2008;End of Comment Period 05/16/2008.,,,,,,,,,,,,,
"Abstract: In consultation with the Federal Railroad Administration (FRA), PHMSA would revise the current requirements on the safe and secure transportation of hazardous materials transported in commerce by rail. It may require rail carriers to (1) compile annual data on certain shipments of hazardous materials and use the data to analyze safety and security risks along rail transportation routes where those materials are transported; (2) assess alternative routing options and make routing decisions based on those assessments; and (3) clarify the current security plan requirements to address en route storage and delays in transit. This rulemaking was scheduled to have a final rule published by 12/24/2007.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
Regulatory Flexibility Act Information Collection,,,,,,,,,,,,,
Prompting action: Secretarial/Head of Operating Administration Decision,,,,,,,,,,,,,
Legal Deadline: Final Rule : 05/03/2008 Rulemaking Project Initiated: 05/01/2004 Docket Number: PHMSA-RSPA-2004-18730,,,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,,,
Milestone,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,,
To OST,8/1/08,,,8/8/08,,,8/5/08,,,,,,
To OMB,9/5/08,,,9/11/08,,,9/9/08,,,,,,
OMB Clearance,12/5/08,,,10/27/08,,,,,,,,,
Publication Date,12/15/08,,,10/31/08,,,,,,,,,
Explanation for any delay: N/,,,,,,,,,,,,,
A,,,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Hazardous Materials: Requirements for Storage of Explosives During Transportation,,,,,,,,,,,,Red,
62,,,,,,,,,,,,,
Popular Title: Storage of Explosives,,,,,,,,,,,,,
RIN 2137-AE06,,,,,,,,,,,,,
Stage: ANPRM,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,
"Abstract: This rulemaking would address the current safety and security risks associated with the storage of explosives during transportation. The HMR require shipments stored during transportation to conform to the same requirements that apply when the shipments are actually moving and for the shipping company to have security plans covering its shipments. Otherwise, the HMR do not include specific requirements for facilities at which explosives or other high-hazard materials are stored during transportation. The HMR do not establish specific standards for storage facilities nor do they limit the amount of material that may be stored in a single location. Through this rulemaking, the agency will evaluate the adequacy of existing regulatory requirements and the need for additional, more specific requirements. In particular, the agency is considering whether current industry standards applicable to the storage of explosives should be incorporated by reference into the HMR.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
None,,,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 01/01/2005,,,,,,,,,,,,,
Docket Number: PHMSA-2005-22987,,,,,,,,,,,,,
Dates for ANPRM:,,,,,,,,,,,,,
Milestone,,,Originally Scheduled Date,,,New Projected Date,,,,,,,Actual Date
To OST,,,5/23/05,,,,,,,,,,5/24/05
Returned to Mode,,,,,,,,,,,,,5/24/05
Resubmitted to OST,,,,,,,,,,,,,5/26/05
Returned to Mode/2,,,,,,,,,,,,,6/14/05
Resubmitted to OST/2,,,,,,6/30/05,,,,,,,6/22/05
To OMB,,,6/24/05,,,10/11/05,,,,,,,10/17/05
OMB Clearance,,,9/22/05,,,1/17/06,,,,,,,11/9/05
Publication Date,,,9/29/05,,,1/24/06,,,,,,,11/16/05
End of Comment Period,,,11/28/05,,,2/14/06,,,,,,,2/14/06
Reopening of Comment Period,,,,,,7/7/08,,,,,,,7/3/08
End of Reopened Comment Period,,,,,,9/8/08,,,,,,,10/1/08
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,
Federal Register Citation for ANPRM: 70 FR 69493,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Hazardous Materials: Enforcement Regulations,,,,,,,,,,,,Red,
63,,,,,,,,,,,,,
Popular Title: Package Inspection Authority,,,,,,,,,,,,,
RIN 2137-AE13,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,
"Abstract: Pursuant to a mandate in SAFETEA-LU (section 7118 of P.L. 109-59), this rulemaking would establish procedural regulations to implement authority provided to DOT to open packages believed to contain hazardous materials; remove such packages from transportation; gather information; order the package transported to a facility for examination and analysis; obtain assistance from qualified persons; and issue emergency restrictions, prohibitions, recalls, or out-of- service orders to abate an imminent hazard.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,,,
Foreign,,,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,,,
Legal Deadline: Temporary Rule : 10/11/2005,,,,,,,,,,,,,
Final Rule : 08/10/2006,,,,,,,,,,,,,
Rulemaking Project Initiated: 08/10/2005,,,,,,,,,,,,,
Docket Number: PHMSA-2005-22356,,,,,,,,,,,,,
Dates for NPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,6/6/06,,,5/23/08,,,5/16/08,,,,,
Returned to Mode,,,,,,,,6/24/08,,,,,
Resubmitted to OST,,,,,7/11/08,,,7/8/08,,,,,
To OMB,,7/11/06,,,8/30/08,,,7/25/08,,,,,
OMB Clearance,,10/11/06,,,11/5/08,,,9/23/08,,,,,
Publication Date,,10/18/06,,,11/12/08,,,10/2/08,,,,,
End of Comment Period,,12/19/06,,,1/12/09,,,12/1/08,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,
Federal Register Citation for NPRM: 73 FR 57281,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Pipeline Safety: Distribution Integrity Management,,,,,,,,,,,,Red,
64,,,,,,,,,,,,,
Popular Title: Distribution Integrity Management,,,,,,,,,,,,,
RIN 2137-AE15,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,
Abstract: This rulemaking would establish integrity management program requirements appropriate for gas distribution pipeline operators. This rulemaking would require gas distribution pipeline operators to develop and implement programs to better assure the integrity of their pipeline systems.,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
Economically Significant Major,,,,,,,,,,,,,
Information Collection Prompting action: Statute Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 03/02/2006,,,,,,,,,,,,,
Docket Number: PHMSA-04-19854,,,,,,,,,,,,,
Dates for NPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,1/2/07,,,1/2/08,,,12/21/07,,,,,
To OMB,,3/9/07,,,3/17/08,,,3/20/08,,,,,
OMB Clearance,,6/11/07,,,6/18/08,,,6/19/08,,,,,
Publication Date,,6/20/07,,,6/30/08,,,6/25/08,,,,,
End of Comment Period,,9/20/07,,,9/30/08,,,9/23/08,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,
Awaiting outcome of pending legislation,,,,,,,,,,,,,
Federal Register Citation for NPRM: 73 FR 36015,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Hazardous Materials: Revision of Requirements for Security Plans,,,,,,,,,,Green,,,
65,,,,,,,,,,,,,
Popular Title: Security Plans,,,,,,,,,,,,,
RIN 2137-AE22,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,
"Abstract: In response to two industry petitions for rulemaking, this rulemaking will reconsider and refine the list of hazardous materials for which security plans are currently required. The industry petitioners asked PHMSA to amend the security plan regulations to create a distinction between hazardous materials that present a significant security risk while in transportation and the vast majority of hazardous materials that pose no significant security risk in transportation.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,,,
Foreign Prompting action: None Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 05/01/2006,,,,,,,,,,,,,
Docket Number: PHMSA-2006-25885,,,,,,,,,,,,,
Dates for NPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,5/15/08,,,6/30/08,,,6/20/08,,,,,
To OMB,,6/24/08,,,8/6/08,,,7/21/08,,,,,
OMB Clearance,,9/24/08,,,11/6/08,,,8/29/08,,,,,
Publication Date,,9/30/08,,,11/14/08,,,9/9/08,,,,,
End of Comment Period,,11/30/08,,,1/14/09,,,11/10/08,,,,,
Explanation for any delay: N/,,,,,,,,,,,,,
A,,,,,,,,,,,,,
Federal Register Citation for NPRM: 73 FR 52558,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Pipeline Safety: Standards for Increasing the Maximum Allowable Operating Pressure for Gas Transmission Pipelines,,,,,,,,,,Green,,,
66,,,,,,,,,,,,,
Popular Title: MAOP for Gas Transmission Pipelines,,,,,,,,,,,,,
RIN 2137-AE25,,,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,,,
Previous Stage: NPRM: Publication Approved 03/03/2008;Publication Date 03/12/2008;End of Comment Period 05/12/2008;Extension of Comment Period 05/12/2008;End of Extended Comment Period 05/19/2008.,,,,,,,,,,,,,
"Abstract: This rulemaking would allow operation of certain steel gas transmission pipelines at pressures based on higher stress levels, resulting in an increase of maximum allowable operating pressure (MAOP) over that currently allowed in the regulations. The rulemaking would also require a new pipeline to meet more rigorous design and construction standards as a condition for an operator to calculate the MAOP based on higher stress levels. The rulemaking would also require the operator of a new or existing pipeline operating at the increased MAOP to comply with added operation and maintenance requirements.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
Economically Significant Major,,,,,,,,,,,,,
Prompting action: Secretarial/Head of Operating Administration Decision,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 05/04/2007,,,,,,,,,,,,,
Docket Number: PHMSA-05-23447,,,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,,,
Milestone,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,,
To OST,7/16/08,,,,,,7/18/08,,,,,,
To OMB,8/19/08,,,9/3/08,,,9/3/08,,,,,,
OMB Clearance,10/27/08,,,10/20/08,,,10/2/08,,,,,,
Publication Date,11/7/08,,,10/27/08,,,,,,,,,
Explanation for any delay: N/,,,,,,,,,,,,,
A,,,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Control Room Management/Human Factors,,,,,,,,,,,,Red,
67,,,,,,,,,,,,,
Popular Title: Control Room Management/Human Factors,,,,,,,,,,,,,
RIN 2137-AE28,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,
Previous Stage: None,,,,,,,,,,,,,
"Abstract: This rulemaking would require operators of natural gas pipelines,",,,,,,,,,,,,,
"hazardous liquid pipelines, and liquefied natural gas (LNG) facilities, to identify and employ specific procedures to improve control room operations, controller training, and controller qualifications. It would require operators to develop, implement, and submit to PHMSA (or the appropriate State), a human factors management plan designed to reduce risks associated with human factors. This would require operators to include in their plans a maximum limit on the hours of service for individuals employed as controllers. It would also require operators to periodically review their management of computer-based control system alarms and to verify that the control systems provide accurate and timely information to controllers. This rulemaking would further require each operator to validate the implementation of the program elements applicable to their individual control system.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
None,,,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
