25. Application by Certain Mexico-Domiciled Motor Carriers to Operate Beyond U.S. Municipalities and  Commercial Zones on the U.S.-Mexico Border,,,,,,,,,,,,,,,,,,,,,
26. Safety Monitoring System and Compliance Initiative for Mexico-Domiciled Motor Carriers Operating in the  United States,,,,,,,,,,,,,,,,,,,,,
"27. Certification of Safety Auditors, Safety Investigators, and Safety Inspectors",,,,,,,,,,,,,,,,,,,,,
28. Limitations on the Issuance of Commercial Driver Licenses with a Hazardous Materials Endorsement,,,,,,,,,,,,,,,,,,,,,
29. Qualifications of Drivers; Diabetes Standard,,,,,,,,,,,,,,,,,,,,,
30. National Registry of Certified Medical Examiners,,,,,,,,,,,,,,,,,,,,,
31. Consumer Complaint Information,,,,,,,,,,,,,,,,,,,,,
32. Minimum Training Requirements for Entry Level Commercial Motor Vehicle Operations,,,,,,,,,,,,,,,,,,,,,
33. Carrier Safety Fitness Determination,,,,,,,,,,,,,,,,,,,,,
34. New Entrant Safety Assurance Process: Implementation of Section 210(b) of the Motor Carrier Safety  Improvement Act of 1999,,,,,,,,,,,,,,,,,,,,,
35. Commercial Driver's License Drug and Alcohol Clearinghouse,,,,,,,,,,,,,,,,,,,,,
36. Electronic On-Board Recorders and Hours of Service Supporting Documents,,,,,,,,,,,,,,,,,,,,,
37. Hours of Service,,,,,,,,,,,,,,,,,,,,,
38. Drivers of Commercial Vehicles: Restricting the Use of Cellular Phones,,,,,,,,,,,,,,,,,,,,,
39. Drivers of CMVs: Addressing Distracted Driving,,,,,,,,,,,,,,,,,,,,,
"40. Inspection, Repair, and Maintenance; Driver-Vehicle Inspection Report for Intermodal Equipment",,,,,,,,,,,,,,,,,,,,,
41. Medical Examiner's Certification Integration,,,,,,,,,,,,,,,,,,,,,
42. Patterns of Safety Violations by Motor Carrier Management,,,,,,,,,,,,,,,,,,,,,
43. Lease and Interchange of Vehicles; Commercial Motor Vehicles Designed to Transport Passengers,,,,,,,,,,,,,,,,,,,,,
Federal Railroad Administration,,,,,,,,,,,,,,,,,,,,,
44. Roadway Worker Protection; Adjacent-Track On-Track Safety,,,,,,,,,,,,,,,,,,,,,
"45. Critical Incident Stress Plan; ""Critical Incident"" Definition",,,,,,,,,,,,,,,,,,,,,
46. Training Standards for Railroad Employees,,,,,,,,,,,,,,,,,,,,,
47. Vehicle/Track Interaction Safety Standards; High-Speed and High Cant Deficiency Operations,,,,,,,,,,,,,,,,,,,,,
48. Alcohol and Controlled Substance Testing for Maintenance-of-Way Employees,,,,,,,,,,,,,,,,,,,,,
49. Risk Reduction Program,,,,,,,,,,,,,,,,,,,,,
50. Emergency Escape Breathing Apparatus,,,,,,,,,,,,,,,,,,,,,
51. High-Speed Rail Corridor Development and Capital Investment Grants to Support Intercity Passenger Rail  Service,,,,,,,,,,,,,,,,,,,,,
52. High-Speed Intercity Passenger Rail (HSIPR) Program; Buy America Program Requirements,,,,,,,,,,,,,,,,,,,,,
53. Medical Standards for Certified Locomotive Engineers and Conductors,,,,,,,,,,,,,,,,,,,,,
54. Positive Train Control Systems Amendments (RRR),,,,,,,,,,,,,,,,,,,,,
55. Railroad System Safety Program,,,,,,,,,,,,,,,,,,,,,
"56. Positive Train Control Systems: De Minimis Exception, Yard Movements, En Route Failures; Miscellaneous  Grade Crossing/Signal and Train Control Amendments",,,,,,,,,,,,,,,,,,,,,
Federal Transit Administration,,,,,,,,,,,,,,,,,,,,,
57. Capital Project Management,,,,,,,,,,,,,,,,,,,,,
58. Bus Testing: Updating Testing Procedures,,,,,,,,,,,,,,,,,,,,,
59. Major Capital Investment Projects (RRR),,,,,,,,,,,,,,,,,,,,,
60. Environmental Impact and Related Procedures,,,,,,,,,,,,,,,,,,,,,
Maritime Administration,,,,,,,,,,,,,,,,,,,,,
"61. Regulations To Be Followed by All Departments, Agencies and Shippers Having Responsibility To Provide a  Preference for U.S.-Flag Vessels in the Shipment of Cargoes on Ocean Vessels.",,,,,,,,,,,,,,,,,,,,,
National Highway Traffic Safety Administration,,,,,,,,,,,,,,,,,,,,,
"62. FMVSS No. 124, Accelerator Control Systems Upgrade",,,,,,,,,,,,,,,,,,,,,
"63. Federal Motor Vehicle Safety Standard No. 111, Rearview Mirrors",,,,,,,,,,,,,,,,,,,,,
"64. Require Installation of Seat Belts on Motorcoaches, FMVSS No. 208",,,,,,,,,,,,,,,,,,,,,
65. Alternative Fuel Vehicle Badging and Fuel Compartment Labels on Alternative Fuel Usage,,,,,,,,,,,,,,,,,,,,,
66. Tire Fuel Efficiency Consumer Information - Part 2,,,,,,,,,,,,,,,,,,,,,
67. Passenger Car and Light Truck Corporate Average Fuel Economy Standards MYs 2017 and Beyond,,,,,,,,,,,,,,,,,,,,,
68. Mandatory Part 563 Event Data Recorder Requirements,,,,,,,,,,,,,,,,,,,,,
69. Upgrade of Event Data Recorder Requirements,,,,,,,,,,,,,,,,,,,,,
70. Heavy Vehicle Speed Limiters,,,,,,,,,,,,,,,,,,,,,
71. Sound for Hybrid and Electric Vehicles,,,,,,,,,,,,,,,,,,,,,
72. Motorcoach Rollover Structural Integrity,,,,,,,,,,,,,,,,,,,,,
73. Electronic Stability Control Systems for Heavy Vehicles,,,,,,,,,,,,,,,,,,,,,
74. FMVSS No. 218 and Enforcement Policy Concerning Novelty Helmets,,,,,,,,,,,,,,,,,,,,,
"75. Part 571 FMVSS No. 205, Glazing Materials, GTR (RRR)",,,,,,,,,,,,,,,,,,,,,
Office of the Secretary,,,,,,,,,,,,,,,,,,,,,
76. Protection of Sensitive Security Information,,,,,,,,,,,,,,,,,,,,,
77. Prioritization and Allocation Authority Exercised By the Secretary of Transportation Under the Defense  Production Act,,,,,,,,,,,,,,,,,,,,,
78. Use of the Seat-Strapping Method for Carrying a Wheelchair on an Aircraft,,,,,,,,,,,,,,,,,,,,,
"79. Stowage of Wheelchairs, other Mobility Aids and other Assistive Devices",,,,,,,,,,,,,,,,,,,,,
80. Accessibility of Airports,,,,,,,,,,,,,,,,,,,,,
81. Accessibility of Carrier Websites and Ticket Kiosks,,,,,,,,,,,,,,,,,,,,,
82. Smoking of Electronic Cigarettes On Commercial Aircraft,,,,,,,,,,,,,,,,,,,,,
83. Enhancing Airline Passenger Protections III,,,,,,,,,,,,,,,,,,,,,
"84. Carrier-Supplied Medical Oxygen, Accessible In-Flight Entertainment Systems, Service Animals, and  Accessible Lavatories on Single-Aisle Aircraft",,,,,,,,,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,,,,,,,,,
85. Hazardous Materials; Combination Packages Containing Liquids Intended for Transport by Aircraft,,,,,,,,,,,,,,,,,,,,,
86. Hazardous Materials: Bulk Loading and Unloading Operations,,,,,,,,,,,,,,,,,,,,,
87. Pipeline Safety: Enforcement of State Excavation Damage Laws,,,,,,,,,,,,,,,,,,,,,
88. Hazardous Materials: Revisions to Requirements for the Transportation of Lithium Batteries,,,,,,,,,,,,,,,,,,,,,
89. Hazardous Materials: Combustible Liquids,,,,,,,,,,,,,,,,,,,,,
90. Hazardous Materials: Safety Requirements for External Product Piping on Cargo Tanks Transporting  Flammable Liquids (Wetlines),,,,,,,,,,,,,,,,,,,,,
91. Hazardous Materials: Limiting the Use of Mobile Telephones by Highway,,,,,,,,,,,,,,,,,,,,,
92. Pipeline Safety: Safety of On-Shore Liquid Hazardous Pipelines,,,,,,,,,,,,,,,,,,,,,
93. Hazardous Materials: Transportation of Lithium Batteries,,,,,,,,,,,,,,,,,,,,,
94. Hazardous Materials: Revision of Requirements for Fireworks Approvals,,,,,,,,,,,,,,,,,,,,,
95. Pipeline Safety: Excess Flow Valves In Applications Other Than Single-Family Residences in Gas  Distribution Systems,,,,,,,,,,,,,,,,,,,,,
96. Pipeline Safety: Gas Transmission,,,,,,,,,,,,,,,,,,,,,
97. Drivers of CMVs: Addressing Distracted Driving,,,,,,,,,,,,,,,,,,,,,
Research and Innovative Technology Administration,,,,,,,,,,,,,,,,,,,,,
98. Reporting Ancillary Airline Passenger Revenues,,,,,,,,,,,,,,,,,,,,,
Federal Aviation Administration,,,,,,,,,,,,,,,,,,,,,
Federal Aviation Administration,,,,,,,,,,,,,,,,,,,,,
1.,,,,,,,,,,,,,,,,,,,,,
"Qualification, Service, and Use of Crewmembers and Aircraft Dispatchers",,,,,,,,,,,,,,,,,,,,Red,
"Popular Title: Part 121, Subparts N and O",,,,,,,,,,,,,,,,,,,,,
RIN 2120-AJ00,,,,,,,,,,,,,,,,,,,,,
Stage: SNPRM,,,,,,,,,,,,,,,,,,,,,
Previous Stage: NPRM: Publication Date 01/12/2009;End of Comment Period 05/12/2009;Extension of Comment Period 04/20/2009;End of Extended of Comment Period 08/10/2009.,,,,,,,,,,,,,,,,,,,,,
"Abstract: This rulemaking would amend the regulations for crewmember and dispatcher training programs in domestic, flag, and supplemental operations. The rulemaking would enhance traditional training programs by requiring the use of flight simulation training devices for flight crewmembers and including additional training requirements in areas that are critical to safety. The rulemaking would also reorganize and revise the qualification and",,,,,,,,,,,,,,,,,,,,,
training requirements. The changes are intended to contribute significantly to reducing,,,,,,,,,,,,,,,,,,,,,
aviation accidents.,,,,,,,,,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,,,,,,,,,
Regulatory Flexibility Act Information Collection,,,,,,,,,,,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,,,,,,,,,
Rulemaking Project Initiated: 03/12/1999,,,,,,,,,,,,,,,,,,,,,
Docket Number: FAA-2008-0677,,,,,,,,,,,,,,,,,,,,,
Dates for SNPRM:,,,,,,,,,,,,,,,,,,,,,
Milestone,,,,,Originally Scheduled Date,,,,New Projected Date,,,,,Actual Date,,,,,,,
To OST,,,,,02/26/2010,,,,05/27/2010,,,,,05/27/2010,,,,,,,
Returned to Mode,,,,,,,,,,,,,,06/18/2010,,,,,,,
Resubmitted to OST,,,,,,,,,08/27/2010,,,,,08/19/2010,,,,,,,
Returned to Mode/2,,,,,,,,,,,,,,09/29/2010,,,,,,,
Resubmitted to OST/2,,,,,,,,,10/08/2010,,,,,10/08/2010,,,,,,,
To OMB,,,,,03/12/2010,,,,11/16/2010,,,,,11/29/2010,,,,,,,
OMB Clearance,,,,,04/09/2010,,,,04/01/2011,,,,,04/21/2011,,,,,,,
Publication Date,,,,,04/20/2010,,,,05/20/2011,,,,,05/20/2011,,,,,,,
End of Comment Period,,,,,06/21/2010,,,,07/19/2011,,,,,07/19/2011,,,,,,,
Extension of Comment Period,,,,,,,,,,,,,,06/23/2011,,,,,,,
End of Extended Comment Period,,,,,,,,,,,,,,09/19/2011,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,,,,,,,,,
Federal Register Citation for SNPRM: 76FR29336,,,,,,,,,,,,,,,,,,,,,
Federal Aviation Administration,,,,,,,,,,,,,,,,,,,,,
Certification of Turbofan Powered Airplanes and Miscellaneous Amendments,,,,,,,,,,,,,,,,,,,,Red,
2.,,,,,,,,,,,,,,,,,,,,,
Popular Title: Turbofan Powered Airplanes,,,,,,,,,,,,,,,,,,,,,
RIN 2120-AJ22,,,,,,,,,,,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,,,,,,,,,,,
Previous Stage: NPRM: Publication Date 8/17/2009; End of Comment Period 11/16/2009; Extension of Comment Period 11/16/2009; End of Extended Comment Period 12/16/2009.,,,,,,,,,,,,,,,,,,,,,
Abstract: This rulemaking would address certification and operational issues surrounding the introduction of turbofan powered airplanes. This action is necessary to standardize certification requirements and consolidate these requirements into one location. The intent is to ensure the same standards apply to all light aircraft.,,,,,,,,,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,,,,,,,,,
None,,,,,,,,,,,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,,,,,,,,,,,
Legal Deadline: Final Rule : 04/16/2011 Rulemaking Project Initiated: 01/02/2008 Docket Number: FAA-2009-0738,,,,,,,,,,,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,,,,,,,,,,,
Milestone,Originally Scheduled Date,,,New Projected Date,,,,Actual Date,,,,,,,,,,,,,
To OST,02/11/2011,,,04/05/2011,,,,04/01/2011,,,,,,,,,,,,,
To OMB,03/11/2011,,,07/07/2011,,,,07/07/2011,,,,,,,,,,,,,
OMB Clearance,06/13/2011,,,10/07/2011,,,,10/13/2011,,,,,,,,,,,,,
Publication Date,06/27/2011,,,12/02/2011,,,,,,,,,,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,,,,,,,,,,,
Federal Aviation Administration,,,,,,,,,,,,,,,,,,,,,
Supercooled Large Droplet Icing Conditions,,,,,,,,,,,,,,,,,,Yellow,,,
3.,,,,,,,,,,,,,,,,,,,,,
Popular Title: Supercooled Large Droplet Icing Conditions,,,,,,,,,,,,,,,,,,,,,
RIN 2120-AJ34,,,,,,,,,,,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,,,,,,,,,,,
Previous Stage: NPRM: Publication Date 6/29/2010; End of Comment Period 08/30/2010; Publication of Extended Comment Period 08/16/2010; End of Extended Comment Period 9/29/2010.,,,,,,,,,,,,,,,,,,,,,
"Abstract: This rulemaking would amend the airworthiness standards applicable to certain transport category airplanes certificated for flight in icing conditions and the icing airworthiness standards applicable to certain aircraft engines. The rulemaking would improve safety by addressing supercooled large drop icing conditions for transport category airplanes most affected by supercooled large drop icing conditions, mixed phase and ice crystal conditions for all transport category airplanes, and supercooled large drop, mixed phase, and ice crystal icing conditions for all turbine engines. This rulemaking is the result of information gathered from a review of icing accidents and incidents.",,,,,,,,,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,,,,,,,,,,,
Foreign,,,,,,,,,,,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,,,,,,,,,,,
Legal Deadline: Final Rule : 11/29/2012 Rulemaking Project Initiated: 02/04/2008 Docket Number: FAA-2010-0636,,,,,,,,,,,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,,,,,,,,,,,
Milestone,Originally Scheduled Date,,,New Projected Date,,,,Actual Date,,,,,,,,,,,,,
To OST,09/20/2011,,,02/06/2012,,,,,,,,,,,,,,,,,
To OMB,10/21/2011,,,03/06/2012,,,,,,,,,,,,,,,,,
OMB Clearance,01/20/2012,,,06/06/2012,,,,,,,,,,,,,,,,,
Publication Date,02/06/2012,,,06/22/2012,,,,,,,,,,,,,,,,,
"Explanation for any delay: Other, higher priorities",,,,,,,,,,,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,,,,,,,,,,,
Federal Aviation Administration,,,,,,,,,,,,,,,,,,,,,
Airport Safety Management System,,,,,,,,,,,,,,,,,,,,Red,
4.,,,,,,,,,,,,,,,,,,,,,
Popular Title: Airport SMS,,,,,,,,,,,,,,,,,,,,,
RIN 2120-AJ38,,,,,,,,,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,,,,,,,,,
Abstract: This rulemaking would require airport operators to institute a safety management system at their airports. This action is necessary to improve safety through conformance with best practices in risk management and promote international harmonization with ICAO standards. The rule is intended to facilitate integration of formal risk management processes within the airportÂ´s day-to-day operations.,,,,,,,,,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,,,,,,,,,
Information Collection Peer Review,,,,,,,,,,,,,,,,,,,,,
Prompting action: None,,,,,,,,,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,,,,,,,,,
Rulemaking Project Initiated: 07/22/2008,,,,,,,,,,,,,,,,,,,,,
Docket Number: FAA-2010-0997,,,,,,,,,,,,,,,,,,,,,
Dates for NPRM:,,,,,,,,,,,,,,,,,,,,,
Milestone,,,,,,,,,Originally Scheduled Date,,,New Projected Date,,,,,Actual Date,,,,
To OST,,,,,,,,,02/17/2010,,,04/27/2010,,,,,04/27/2010,,,,
To OMB,,,,,,,,,03/18/2010,,,06/18/2010,,,,,06/17/2010,,,,
OMB Clearance,,,,,,,,,06/18/2010,,,09/20/2010,,,,,09/28/2010,,,,
Publication Date,,,,,,,,,07/02/2010,,,10/12/2010,,,,,10/07/2010,,,,
End of Comment Period,,,,,,,,,10/04/2010,,,01/05/2011,,,,,01/05/2011,,,,
Publication Date for Extension of Comment Period,,,,,,,,,,,,,,,,,12/10/2010,,,,
End of Extended of Comment Period,,,,,,,,,,,,,,,,,03/07/2011,,,,
Extension of Comment Period/2,,,,,,,,,,,,,,,,,03/07/2011,,,,
End of Extension of Comment Period/2,,,,,,,,,,,,,,,,,07/05/2011,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,,,,,,,,,
Federal Register Citation for NPRM: 75 FR 62008,,,,,,,,,,,,,,,,,,,,,
Federal Aviation Administration,,,,,,,,,,,,,,,,,,,,,
Photo Requirements for Pilot Certificates,,,,,,,,,,,,,,,,,,,Green,,
5.,,,,,,,,,,,,,,,,,,,,,
Popular Title: Photo Requirements,,,,,,,,,,,,,,,,,,,,,
RIN 2120-AJ42,,,,,,,,,,,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,,,,,,,,,,,
Previous Stage: NPRM: Publication Date 11/19/2010; End of Comment Period 02/17/2011,,,,,,,,,,,,,,,,,,,,,
Abstract: This rulemaking would require digital photos on all pilot certificates. This action is necessary to update regulations about pilot plastic certificates. The intended effect of this action is to meet all requirements of the Intelligence Reform and Terrorism Prevention Act.,,,,,,,,,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,,,,,,,,,
None,,,,,,,,,,,,,,,,,,,,,
Prompting action: Statute,,,,,,,,,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,,,,,,,,,
Rulemaking Project Initiated: 09/30/2008,,,,,,,,,,,,,,,,,,,,,
Docket Number: FAA-2010-1127,,,,,,,,,,,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,,,,,,,,,,,
Milestone,Originally Scheduled Date,,,New Projected Date,,,,Actual Date,,,,,,,,,,,,,
To OST,01/11/2012,,,02/01/2012,,,,,,,,,,,,,,,,,
To OMB,02/13/2012,,,03/02/2012,,,,,,,,,,,,,,,,,
OMB Clearance,05/14/2012,,,05/31/2012,,,,,,,,,,,,,,,,,
Publication Date,05/29/2012,,,06/12/2012,,,,,,,,,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,,,,,,,,,,,
Federal Aviation Administration,,,,,,,,,,,,,,,,,,,,,
Air Ambulance and Commercial Helicopter Operations; Safety Initiatives and Miscellaneous Amendments,,,,,,,,,,,,,,,,,,,,Red,
6.,,,,,,,,,,,,,,,,,,,,,
Popular Title: Helicopter Safety Initiatives and Misc Amendments,,,,,,,,,,,,,,,,,,,,,
RIN 2120-AJ53,,,,,,,,,,,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,,,,,,,,,,,
Previous Stage: NPRM: Publication Date 10/12/2010; End of Comment Period 01/01/2011.,,,,,,,,,,,,,,,,,,,,,
"Abstract: This rulemaking would change equipment and operating requirements for commercial helicopter operations, including many specifically for helicopter air ambulance operations. This rulemaking is necessary to increase crew, passenger, and patient safety.",,,,,,,,,,,,,,,,,,,,,
"The intended effect is to implement National Transportation Safety Board, Aviation Rulemaking Committee, and internal FAA recommendations.",,,,,,,,,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,,,,,,,,,
Regulatory Flexibility Act,,,,,,,,,,,,,,,,,,,,,
Prompting action: Secretarial/Head of Operating Administration Decision,,,,,,,,,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,,,,,,,,,
Rulemaking Project Initiated: 04/15/2009,,,,,,,,,,,,,,,,,,,,,
Docket Number: FAA-2010-0982,,,,,,,,,,,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,,,,,,,,,,,
Milestone,Originally Scheduled Date,,,New Projected Date,,,,Actual Date,,,,,,,,,,,,,
To OST,01/04/2012,,,02/06/2012,,,,,,,,,,,,,,,,,
To OMB,02/06/2012,,,03/06/2012,,,,,,,,,,,,,,,,,
OMB Clearance,05/03/2012,,,06/06/2012,,,,,,,,,,,,,,,,,
Publication Date,05/21/2012,,,06/21/2012,,,,,,,,,,,,,,,,,
Explanation for any delay: N/A,,,,,,,,,,,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,,,,,,,,,,,
Federal Aviation Administration,,,,,,,,,,,,,,,,,,,,,
Flight and Duty Time Limitations and Rest Requirements,,,,,,,,,,,,,,,,,,,,Red,
7.,,,,,,,,,,,,,,,,,,,,,
Popular Title: Flight/Duty/Rest Requirements,,,,,,,,,,,,,,,,,,,,,
RIN 2120-AJ58,,,,,,,,,,,,,,,,,,,,,
Stage: Final Rule,,,,,,,,,,,,,,,,,,,,,
Previous Stage: NPRM: Publication Date 09/14/2010;End of Comment Period 11/15/2010.,,,,,,,,,,,,,,,,,,,,,
"Abstract: This rulemaking would amend existing flight, duty, and rest regulations applicable to certificate holders and their flightcrew members operating under 14 CFR part",,,,,,,,,,,,,,,,,,,,,
"121. The new requirements would eliminate the current distinctions between domestic, flag, and supplemental operations. Also, the rulemaking would provide different requirements based on the time of day, whether an individual is acclimated to a new time zone, and the likelihood of being able to sleep under different circumstances. This rulemaking is  necessary to improve aviation safety by providing applicable persons with the opportunity for sufficient rest.",,,,,,,,,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,,,,,,,,,
Economically Significant Major,,,,,,,,,,,,,,,,,,,,,
Prompting action: Secretarial/Head of Operating Administration Decision,,,,,,,,,,,,,,,,,,,,,
Legal Deadline: Final Rule : 08/01/2011 Rulemaking Project Initiated: 06/24/2009 Docket Number: FAA-2009-1093,,,,,,,,,,,,,,,,,,,,,
Dates for Final Rule:,,,,,,,,,,,,,,,,,,,,,
Milestone,Originally Scheduled Date,,,New Projected Date,,,,Actual Date,,,,,,,,,,,,,
To OST,05/27/2011,,,,,,,07/08/2011,,,,,,,,,,,,,
To OMB,06/13/2011,,,08/08/2011,,,,08/17/2011,,,,,,,,,,,,,
OMB Clearance,07/28/2011,,,12/16/2011,,,,,,,,,,,,,,,,,
Publication Date,08/08/2011,,,12/30/2011,,,,,,,,,,,,,,,,,
Explanation for any delay: Additional coordination necessary,,,,,,,,,,,,,,,,,,,,,
Federal Register Citation for Final Rule: None,,,,,,,,,,,,,,,,,,,,,
Federal Aviation Administration,,,,,,,,,,,,,,,,,,,,,
Operation and Certification of Small Unmanned Aircraft Systems (sUAS),,,,,,,,,,,,,,,,,,,,Red,
8.,,,,,,,,,,,,,,,,,,,,,
Popular Title: Small Unmanned Aircraft,,,,,,,,,,,,,,,,,,,,,
RIN 2120-AJ60,,,,,,,,,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,,,,,,,,,
"Abstract: This rulemaking would enable small unmanned aircraft to safely operate in limited portions of the national airspace system (NAS). This action is necessary because it addresses the novel legal or policy issues about the minimum safety parameters for operating recreational remote control model and toy aircraft in the NAS. The intended effect of this action is to develop requirements and standards to ensure that risks are adequately mitigated, such that safety is maintained for the entire aviation community.",,,,,,,,,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,,,,,,,,,
Regulatory Flexibility Act Prompting action: None Legal Deadline: None,,,,,,,,,,,,,,,,,,,,,
Rulemaking Project Initiated: 07/28/2009,,,,,,,,,,,,,,,,,,,,,
Docket Number: Dates for NPRM:,,,,,,,,,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,,New Projected Date,,,,Actual Date,,,,,,,,,,,
To OST,,01/24/2011,,,,09/02/2011,,,,08/29/2011,,,,,,,,,,,
To OMB,,02/03/2011,,,,10/03/2011,,,,,,,,,,,,,,,
OMB Clearance,,03/07/2011,,,,01/03/2012,,,,,,,,,,,,,,,
Publication Date,,03/10/2011,,,,01/17/2012,,,,,,,,,,,,,,,
End of Comment Period,,07/14/2011,,,,04/17/2012,,,,,,,,,,,,,,,
Explanation for any delay: Unanticipated issues requiring further analysis,,,,,,,,,,,,,,,,,,,,,
Federal Register Citation for NPRM: None,,,,,,,,,,,,,,,,,,,,,
Federal Aviation Administration,,,,,,,,,,,,,,,,,,,,,
Repair Stations,,,,,,,,,,,,,,,,,,,,Red,
9.,,,,,,,,,,,,,,,,,,,,,
Popular Title: Repair Stations,,,,,,,,,,,,,,,,,,,,,
RIN 2120-AJ61,,,,,,,,,,,,,,,,,,,,,
Stage: NPRM,,,,,,,,,,,,,,,,,,,,,
Previous Stage:None,,,,,,,,,,,,,,,,,,,,,
"Abstract: This rulemaking would update and revise the regulations for repair stations. The action is necessary because many portions of the current regulations do not reflect current repair station business practices, aircraft maintenance practices, or advances in aircraft technology.",,,,,,,,,,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,,,,,,,,,
Regulatory Flexibility Act Federalism,,,,,,,,,,,,,,,,,,,,,
